CatAge,Group,accEBVh,accEBVi,Scenario,rep
Fathers,home,0.678460159794296,-0.00147516188374221,0_0,0
Fathers,import,0.00699346753324102,0.593631669602097,0_0,0
Female candidates,home,0.384435061641026,-0.0531471084259547,0_0,0
Female candidates,import,0.0112523838842106,0.390291988541126,0_0,0
Male candidates,home,0.718841601389844,-0.152500145756879,0_0,0
Male candidates,import,-0.0197661413055008,0.731577970120144,0_0,0
Mothers,home,0.67260720849653,-0.0701445450077767,0_0,0
Mothers,import,-0.0157436391706097,0.655752441097353,0_0,0
Fathers,home,0.853710409939511,0.190035352858613,10_10,0
Fathers,import,0.00430129125513301,0.732444160692975,10_10,0
Female candidates,home,0.348463669072906,0.549466665961302,10_10,0
Female candidates,import,0.0560557359192879,0.405086551961133,10_10,0
Male candidates,home,0.743687317672122,0.306934153386128,10_10,0
Male candidates,import,0.0423063502283618,0.794520203161519,10_10,0
Mothers,home,0.674355455841116,0.337523791545829,10_10,0
Mothers,import,0.115059648500347,0.658649301053784,10_10,0
Fathers,home,0.735977778444956,0.526787077035367,50_50,0
Fathers,import,0.345927272565126,0.724744731842808,50_50,0
Female candidates,home,0.441667335888367,0.521961812908657,50_50,0
Female candidates,import,0.157047542086238,0.413409170835473,50_50,0
Male candidates,home,0.704748555078895,0.544773055054099,50_50,0
Male candidates,import,0.0624035274265664,0.767575050927298,50_50,0
Mothers,home,0.679087662902749,0.571100691240433,50_50,0
Mothers,import,0.167084453504802,0.672978470887794,50_50,0
Fathers,home,0.718955803722457,0.537757707112446,100_100,0
Fathers,import,0.0898118036427409,0.710551122275825,100_100,0
Female candidates,home,0.401145126001866,0.294460526335275,100_100,0
Female candidates,import,0.108736219602942,0.395248650155945,100_100,0
Male candidates,home,0.557201726674345,0.274067864136875,100_100,0
Male candidates,import,0.0972812907263035,0.71918447368576,100_100,0
Mothers,home,0.698378969426503,0.496486538325679,100_100,0
Mothers,import,0.157884342104195,0.655178790535287,100_100,0
Fathers,home,0.614984251696758,0.67940518683519,0_100,0
Fathers,import,0.147121015809257,0.741761328072957,0_100,0
Female candidates,home,0.450534506372482,0.364451865994548,0_100,0
Female candidates,import,0.13013450583641,0.411033922981155,0_100,0
Male candidates,home,0.787215813698902,0.305577467062606,0_100,0
Male candidates,import,0.0453436424441268,0.751095451598888,0_100,0
Mothers,home,0.684990527773854,0.378705672997798,0_100,0
Mothers,import,0.159967105990684,0.653483987242096,0_100,0
