,Category,EBVGen,Cor,Group,Scenario,Rep,Generation
0,Fathers,EBV21,-0.24679862301955144,home,10_10,0,21
1,Female candidates,EBV21,0.23129704355317862,home,10_10,0,21
2,Male candidates,EBV21,-0.21489356020908926,home,10_10,0,21
3,Male candidates1,EBV21,0.04255492065848936,home,10_10,0,21
4,Mothers,EBV21,0.44456758056524387,home,10_10,0,21
0,Fathers,EBV22,0.027295754614331272,home,10_10,0,22
1,Female candidates,EBV22,0.18829563079366643,home,10_10,0,22
2,Male candidates,EBV22,-0.4175634758023562,home,10_10,0,22
3,Male candidates1,EBV22,0.17797095373727037,home,10_10,0,22
4,Mothers,EBV22,0.44305491275323516,home,10_10,0,22
0,Fathers,EBV23,0.19259594028741603,home,10_10,0,23
1,Female candidates,EBV23,0.21242546742883703,home,10_10,0,23
2,Male candidates,EBV23,0.34669004576510193,home,10_10,0,23
3,Male candidates1,EBV23,0.2153292516552608,home,10_10,0,23
4,Mothers,EBV23,0.5010702610443747,home,10_10,0,23
0,Fathers,EBV24,0.535631228199004,home,10_10,0,24
1,Female candidates,EBV24,0.3665427451229353,home,10_10,0,24
2,Male candidates,EBV24,0.9448756248897929,home,10_10,0,24
3,Male candidates1,EBV24,-0.040433809317308195,home,10_10,0,24
4,Mothers,EBV24,0.6041993004924885,home,10_10,0,24
0,Fathers,EBV25,0.7951603241423951,home,10_10,0,25
1,Female candidates,EBV25,0.38514770476094534,home,10_10,0,25
2,Male candidates,EBV25,0.9549943537405806,home,10_10,0,25
3,Male candidates1,EBV25,0.5034546830473029,home,10_10,0,25
4,Mothers,EBV25,0.5919954130746583,home,10_10,0,25
0,Fathers,EBV26,0.923054430700475,home,10_10,0,26
1,Female candidates,EBV26,0.3647290695303601,home,10_10,0,26
2,Male candidates,EBV26,0.9704569878358019,home,10_10,0,26
3,Male candidates1,EBV26,0.30758250660329384,home,10_10,0,26
4,Mothers,EBV26,0.5790424828240686,home,10_10,0,26
0,Fathers,EBV27,0.9639129704314136,home,10_10,0,27
1,Female candidates,EBV27,0.3727088839882104,home,10_10,0,27
2,Male candidates,EBV27,0.8993192618641285,home,10_10,0,27
3,Male candidates1,EBV27,0.08979521621649675,home,10_10,0,27
4,Mothers,EBV27,0.5458543699321657,home,10_10,0,27
0,Fathers,EBV28,0.9570530926051368,home,10_10,0,28
1,Female candidates,EBV28,0.3672911712903089,home,10_10,0,28
2,Male candidates,EBV28,0.9573498902890103,home,10_10,0,28
3,Male candidates1,EBV28,0.396422745483107,home,10_10,0,28
4,Mothers,EBV28,0.5594536515713856,home,10_10,0,28
0,Fathers,EBV29,0.9416365975221982,home,10_10,0,29
1,Female candidates,EBV29,0.37092664023450017,home,10_10,0,29
2,Male candidates,EBV29,0.9912766682137883,home,10_10,0,29
3,Male candidates1,EBV29,-0.08192719582901184,home,10_10,0,29
