Lastnost,Leto,SLO,Tuji
KgMleka_dk,2000,101,110
KgMleka_dk,2001,104,110
KgMleka_dk,2002,102,112
KgMleka_dk,2003,106,112
KgMleka_dk,2004,102,113
KgMleka_dk,2005,104,114
KgMleka_dk,2006,107,115
KgMleka_dk,2007,102,116
KgMleka_dk,2008,108,117
KgMleka_dk,2009,106,118
KgMleka_dk,2010,110,118
KgMleka_dk,2011,112,119
KgMleka_dk,2012,110,120
KgMleka_dk,2013,116,123
KgMasc_dk,2000,100,111
KgMasc_dk,2001,106,111
KgMasc_dk,2002,103,112
KgMasc_dk,2003,105,114
KgMasc_dk,2004,105,113
KgMasc_dk,2005,105,114
KgMasc_dk,2006,106,115
KgMasc_dk,2007,105,116
KgMasc_dk,2008,110,116
KgMasc_dk,2009,107,117
KgMasc_dk,2010,113,119
KgMasc_dk,2011,115,119
KgMasc_dk,2012,108,119
KgMasc_dk,2013,111,121
KgMasc_dk,2014,NA,126
KgBelj_dk,2000,103,110
KgBelj_dk,2001,106,111
KgBelj_dk,2002,103,112
KgBelj_dk,2003,106,113
KgBelj_dk,2004,104,113
KgBelj_dk,2005,104,114
KgBelj_dk,2006,108,115
KgBelj_dk,2007,106,116
KgBelj_dk,2008,110,117
KgBelj_dk,2009,107,119
KgBelj_dk,2010,111,120
KgBelj_dk,2011,114,120
KgBelj_dk,2012,109,121
KgBelj_dk,2013,122,123
KgBelj_dk,2014,NA,127
