scenario,Generation,Group,EBV,gvNormUnres1,gvNormUnres3
0_100,1,home,-0.0020849279374999968,0.009885602308275385,0.015543739688993065
0_100,1,import,-0.0005045401736111114,-0.009885602400393564,-0.015543739754050934
0_100,2,home,-0.5145246819756959,0.29764910770486175,0.3306623420898038
0_100,2,import,-0.09900280609722213,0.33082283327405004,0.3282960636044314
0_100,3,home,-1.025150501706018,-0.22292181712555603,-0.23967763539378498
0_100,3,import,-0.20082717869213026,-0.18300294243730375,-0.19269999181415437
0_100,4,home,-1.5388525645601863,-0.08120681947158517,-0.16515677938888906
0_100,4,import,-0.29900791498958273,-0.08862668701092588,-0.167254821701007
0_100,5,home,-2.0037469655578692,0.18428729130424648,0.11026526052957289
0_100,5,import,-0.39201823127314833,0.19675575063326362,0.109414229708229
0_100,6,home,-2.564264453880784,0.19084063239096044,0.3597671757746513
0_100,6,import,-0.5328657529953704,0.20711838792952533,0.39058414639870365
0_100,7,home,-3.0566315209976955,0.27092011800858834,0.3304145672592237
0_100,7,import,-0.6470770611886569,0.29754060675439825,0.343828248013809
0_100,8,home,-3.536952854408561,0.4981421716622004,0.3220913241578483
0_100,8,import,-0.7583902114525468,0.4743544054062034,0.30425611014564813
0_100,9,home,-3.9976659885752244,0.43704923778135374,0.18186359925443318
0_100,9,import,-0.870663631021989,0.42834493482766217,0.169995019772454
0_100,10,home,-4.518625203048607,0.517054127613866,0.10016286712130763
0_100,10,import,-0.9841052439085624,0.5308623157007307,0.11542995256178253
0_100,11,home,-5.086997669805549,0.2864748859642351,-0.008285216664294097
0_100,11,import,-1.147582921821762,0.3489810009368759,0.038260325274722416
0_100,12,home,-5.439854549912043,0.3777938081536804,0.13291415089663214
0_100,12,import,-1.3289731582511555,0.36040939309547343,0.10622554990894685
0_100,13,home,-5.872088354438677,0.37916409050545186,0.0637676161209143
0_100,13,import,-1.5193928792048572,0.3860671860320489,0.05655213791299805
0_100,14,home,-6.583176077312504,0.6629331163674411,0.3308092846059259
0_100,14,import,-1.5326517210706117,0.6730912528923271,0.33373242635193273
0_100,15,home,-7.719234883434016,0.49809782235201394,0.11368156303951407
0_100,15,import,-2.1929468940636556,0.540246447791284,0.12790395536064847
0_100,16,home,-8.01213698469678,0.7292053983467691,0.5655662865731825
0_100,16,import,-2.6063560503773067,0.7479638106714958,0.5777309092897649
0_100,17,home,-8.313508994755761,0.8899047427081038,0.6375622648004505
0_100,17,import,-3.0879186564456047,0.9106053178091563,0.6565430407329261
