,Gen,genInt,line,sex,Group,Rep,scenario,strategy
1,19,1,dam,F,home,3,0_0,GenGen
2,20,1,dam,M,home,3,0_0,GenGen
3,19,1,sire,F,home,3,0_0,GenGen
4,20,1,sire,M,home,3,0_0,GenGen
5,20,1,dam,F,home,3,0_0,GenGen
6,21,5.014440433213,dam,M,home,3,0_0,GenGen
7,20,1,sire,F,home,3,0_0,GenGen
8,21,7.95667870036101,sire,M,home,3,0_0,GenGen
9,21,4.20122109638867,dam,F,home,3,0_0,GenGen
10,22,4.96028880866426,dam,M,home,3,0_0,GenGen
11,21,6.20239023122889,sire,F,home,3,0_0,GenGen
12,22,8.07581227436823,sire,M,home,3,0_0,GenGen
13,22,4.18602234346584,dam,F,home,3,0_0,GenGen
14,23,5.02166064981949,dam,M,home,3,0_0,GenGen
15,22,6.26955053260587,sire,F,home,3,0_0,GenGen
16,23,8.014440433213,sire,M,home,3,0_0,GenGen
17,23,4.16250974279034,dam,F,home,3,0_0,GenGen
18,24,4.985559566787,dam,M,home,3,0_0,GenGen
19,23,5.89607690309171,sire,F,home,3,0_0,GenGen
20,24,7.86281588447653,sire,M,home,3,0_0,GenGen
21,24,4.0984671343206,dam,F,home,3,0_0,GenGen
22,25,5.05415162454874,dam,M,home,3,0_0,GenGen
23,24,5.94557027799428,sire,F,home,3,0_0,GenGen
24,25,8.04693140794224,sire,M,home,3,0_0,GenGen
25,25,4.05118212522733,dam,F,home,3,0_0,GenGen
26,26,4.97833935018051,dam,M,home,3,0_0,GenGen
27,25,5.87737074564822,sire,F,home,3,0_0,GenGen
28,26,7.96028880866426,sire,M,home,3,0_0,GenGen
29,26,4.06443232008314,dam,F,home,3,0_0,GenGen
30,27,4.97472924187726,dam,M,home,3,0_0,GenGen
31,26,5.97440893738633,sire,F,home,3,0_0,GenGen
32,27,8.14801444043321,sire,M,home,3,0_0,GenGen
33,27,4.13159262146012,dam,F,home,3,0_0,GenGen
34,28,5.03249097472924,dam,M,home,3,0_0,GenGen
35,27,5.88204728500909,sire,F,home,3,0_0,GenGen
36,28,8.04332129963899,sire,M,home,3,0_0,GenGen
37,28,4.11262665627436,dam,F,home,3,0_0,GenGen
38,29,4.95667870036101,dam,M,home,3,0_0,GenGen
39,28,5.79098467134321,sire,F,home,3,0_0,GenGen
40,29,7.92418772563177,sire,M,home,3,0_0,GenGen
41,29,4.12613665887244,dam,F,home,3,0_0,GenGen
42,30,4.985559566787,dam,M,home,3,0_0,GenGen
43,29,5.79488178747727,sire,F,home,3,0_0,GenGen
44,30,8,sire,M,home,3,0_0,GenGen
45,30,4.13211223694466,dam,F,home,3,0_0,GenGen
46,31,4.99638989169675,dam,M,home,3,0_0,GenGen
47,30,5.73044946739413,sire,F,home,3,0_0,GenGen
