,Gen,genInt,line,sex,Group,Rep,scenario,strategy,trait
1,19,1,dam,F,home,0,0_0,GenGen,12
2,20,1,dam,M,home,0,0_0,GenGen,12
3,19,1,sire,F,home,0,0_0,GenGen,12
4,20,1,sire,M,home,0,0_0,GenGen,12
5,20,1,dam,F,home,0,0_0,GenGen,12
6,21,4.92592592592593,dam,M,home,0,0_0,GenGen,12
7,20,1,sire,F,home,0,0_0,GenGen,12
8,21,8,sire,M,home,0,0_0,GenGen,12
9,21,4.23564562223954,dam,F,home,0,0_0,GenGen,12
10,22,4.96296296296296,dam,M,home,0,0_0,GenGen,12
11,21,6.65783320342946,sire,F,home,0,0_0,GenGen,12
12,22,7.74074074074074,sire,M,home,0,0_0,GenGen,12
13,22,4.16523772408418,dam,F,home,0,0_0,GenGen,12
14,23,5.11111111111111,dam,M,home,0,0_0,GenGen,12
15,22,6.49311509482983,sire,F,home,0,0_0,GenGen,12
16,23,8.25925925925926,sire,M,home,0,0_0,GenGen,12
17,23,4.14861002857885,dam,F,home,0,0_0,GenGen,12
18,24,4.85185185185185,dam,M,home,0,0_0,GenGen,12
19,23,6.27201870615744,sire,F,home,0,0_0,GenGen,12
20,24,8.18518518518519,sire,M,home,0,0_0,GenGen,12
21,24,4.09976617303196,dam,F,home,0,0_0,GenGen,12
22,25,4.96296296296296,dam,M,home,0,0_0,GenGen,12
23,24,6.3629514159522,sire,F,home,0,0_0,GenGen,12
24,25,7.74074074074074,sire,M,home,0,0_0,GenGen,12
25,25,4.09171213302156,dam,F,home,0,0_0,GenGen,12
26,26,4.77777777777778,dam,M,home,0,0_0,GenGen,12
27,25,6.27123928293063,sire,F,home,0,0_0,GenGen,12
28,26,8.37037037037037,sire,M,home,0,0_0,GenGen,12
29,26,4.09275136399065,dam,F,home,0,0_0,GenGen,12
30,27,4.66666666666667,dam,M,home,0,0_0,GenGen,12
31,26,6.32060275396207,sire,F,home,0,0_0,GenGen,12
32,27,8.11111111111111,sire,M,home,0,0_0,GenGen,12
33,27,4.10002598077423,dam,F,home,0,0_0,GenGen,12
34,28,5,dam,M,home,0,0_0,GenGen,12
35,27,6.35879449207586,sire,F,home,0,0_0,GenGen,12
36,28,7.96296296296296,sire,M,home,0,0_0,GenGen,12
37,28,4.07092751363991,dam,F,home,0,0_0,GenGen,12
38,29,5.11111111111111,dam,M,home,0,0_0,GenGen,12
39,28,6.32216160041569,sire,F,home,0,0_0,GenGen,12
40,29,7.77777777777778,sire,M,home,0,0_0,GenGen,12
41,29,4.0833982852689,dam,F,home,0,0_0,GenGen,12
42,30,4.95555555555556,dam,M,home,0,0_0,GenGen,12
43,29,6.2439594699922,sire,F,home,0,0_0,GenGen,12
44,30,8.17777777777778,sire,M,home,0,0_0,GenGen,12
45,30,4.10833982852689,dam,F,home,0,0_0,GenGen,12
46,31,5.11111111111111,dam,M,home,0,0_0,GenGen,12
47,30,6.30891140555988,sire,F,home,0,0_0,GenGen,12
48,31,4.06666666666667,sire,M,home,0,0_0,GenGen,12
49,31,4.1109379059496,dam,F,home,0,0_0,GenGen,12
50,32,5.06666666666667,dam,M,home,0,0_0,GenGen,12
51,31,3.76123668485321,sire,F,home,0,0_0,GenGen,12
52,32,4.28888888888889,sire,M,home,0,0_0,GenGen,12
53,32,4.10522213561964,dam,F,home,0,0_0,GenGen,12
54,33,5.06666666666667,dam,M,home,0,0_0,GenGen,12
55,32,4.00909327097948,sire,F,home,0,0_0,GenGen,12
56,33,3.86666666666667,sire,M,home,0,0_0,GenGen,12
57,33,4.11301636788776,dam,F,home,0,0_0,GenGen,12
58,34,5.04444444444444,dam,M,home,0,0_0,GenGen,12
59,33,3.83034554429722,sire,F,home,0,0_0,GenGen,12
60,34,4.31111111111111,sire,M,home,0,0_0,GenGen,12
61,34,4.10340348142375,dam,F,home,0,0_0,GenGen,12
62,35,5,dam,M,home,0,0_0,GenGen,12
63,34,3.73863341127566,sire,F,home,0,0_0,GenGen,12
64,35,3.82222222222222,sire,M,home,0,0_0,GenGen,12
65,35,4.08937386334113,dam,F,home,0,0_0,GenGen,12
66,36,4.82222222222222,dam,M,home,0,0_0,GenGen,12
67,35,3.75448168355417,sire,F,home,0,0_0,GenGen,12
68,36,4.31111111111111,sire,M,home,0,0_0,GenGen,12
69,36,4.09353078721746,dam,F,home,0,0_0,GenGen,12
70,37,4.73333333333333,dam,M,home,0,0_0,GenGen,12
71,36,3.80982073265783,sire,F,home,0,0_0,GenGen,12
72,37,3.37777777777778,sire,M,home,0,0_0,GenGen,12
73,37,4.11639386853728,dam,F,home,0,0_0,GenGen,12
74,38,4.86666666666667,dam,M,home,0,0_0,GenGen,12
75,37,3.8358015068849,sire,F,home,0,0_0,GenGen,12
76,38,3.91111111111111,sire,M,home,0,0_0,GenGen,12
77,38,4.08677578591842,dam,F,home,0,0_0,GenGen,12
78,39,4.88888888888889,dam,M,home,0,0_0,GenGen,12
79,38,3.77604572616264,sire,F,home,0,0_0,GenGen,12
80,39,4.22222222222222,sire,M,home,0,0_0,GenGen,12
81,39,4.08080020784619,dam,F,home,0,0_0,GenGen,12
82,40,4.91111111111111,dam,M,home,0,0_0,GenGen,12
83,39,3.83398285268901,sire,F,home,0,0_0,GenGen,12
84,40,4.26666666666667,sire,M,home,0,0_0,GenGen,12
85,40,4.08677578591842,dam,F,home,0,0_0,GenGen,12
86,41,5.02222222222222,dam,M,home,0,0_0,GenGen,12
87,40,3.84099766173032,sire,F,home,0,0_0,GenGen,12
88,41,4.28888888888889,sire,M,home,0,0_0,GenGen,12
