Group,Strategy,Scenario,Rep,Gen,GenVar
NA,NA,NA,NA,NA,NA
home,SU55,Class,1,41,2.5597484162867
import,SU55,Class,1,41,2.61461763693452
home,SU55,Class,1,42,2.55389477419968
import,SU55,Class,1,42,2.61658813604737
home,SU55,Class,1,43,2.56022705349099
import,SU55,Class,1,43,2.61039829994875
home,SU55,Class,1,44,2.55415620555376
import,SU55,Class,1,44,2.60718854682889
home,SU55,Class,1,45,2.54523795553456
import,SU55,Class,1,45,2.6028820848905
home,SU55,Class,1,46,2.5372072228093
import,SU55,Class,1,46,2.59957977649587
home,SU55,Class,1,47,2.54278468101411
import,SU55,Class,1,47,2.60117026229412
home,SU55,Class,1,48,2.53713122738753
import,SU55,Class,1,48,2.59401056593218
home,SU55,Class,1,49,2.52960281486534
import,SU55,Class,1,49,2.59210285581475
home,SU55,Class,1,50,2.53621990728293
import,SU55,Class,1,50,2.58537140849406
home,SU55,Class,1,51,2.53763916378679
import,SU55,Class,1,51,2.58103882364964
home,SU55,Class,1,52,2.53950932812957
import,SU55,Class,1,52,2.57325613311364
home,SU55,Class,1,53,2.5355429301933
import,SU55,Class,1,53,2.57166081900699
home,SU55,Class,1,54,2.54035947610553
import,SU55,Class,1,54,2.56697480856784
home,SU55,Class,1,55,2.53683797531977
import,SU55,Class,1,55,2.56384134135838
home,SU55,Class,1,56,2.52971710160552
import,SU55,Class,1,56,2.55868654970019
home,SU55,Class,1,57,2.53091235618819
import,SU55,Class,1,57,2.55428605454273
home,SU55,Class,1,58,2.53954878360221
import,SU55,Class,1,58,2.55354205259466
home,SU55,Class,1,59,2.52915005033767
import,SU55,Class,1,59,2.54477996153834
home,SU55,Class,1,60,2.52631685840578
import,SU55,Class,1,60,2.54250768625755
home,SU55,NA,1,60,2.5252747540821
import,SU55,NA,1,60,2.52852348521051
home,SU55,NA,1,61,2.53017597174256
import,SU55,NA,1,61,2.52784749183767
home,SU55,NA,1,62,2.53072281283731
import,SU55,NA,1,62,2.51782228481839
home,SU55,NA,1,63,2.5234095318889
import,SU55,NA,1,63,2.51001466186767
home,SU55,NA,1,64,2.52603727204797
import,SU55,NA,1,64,2.50310808528572
home,SU55,NA,1,65,2.52010786067848
import,SU55,NA,1,65,2.49208549256513
home,SU55,NA,1,66,2.5104862601226
import,SU55,NA,1,66,2.48150853621155
home,SU55,NA,1,67,2.49697008913241
import,SU55,NA,1,67,2.47644811328784
home,SU55,NA,1,68,2.49075481868208
import,SU55,NA,1,68,2.46866491787489
home,SU55,NA,1,69,2.47688718686685
import,SU55,NA,1,69,2.45868403411432
home,SU55,NA,1,70,2.47833532231617
import,SU55,NA,1,70,2.45461891046867
home,SU55,NA,1,71,2.46763690892174
import,SU55,NA,1,71,2.44599396473646
home,SU55,NA,1,72,2.46274792994576
import,SU55,NA,1,72,2.43614581268491
home,SU55,NA,1,73,2.45610097619169
import,SU55,NA,1,73,2.42799169901637
home,SU55,NA,1,74,2.45490869610717
import,SU55,NA,1,74,2.41935047543456
home,SU55,NA,1,75,2.43859061651678
import,SU55,NA,1,75,2.40731596302478
home,SU55,NA,1,76,2.43714478003578
import,SU55,NA,1,76,2.40027558364398
home,SU55,NA,1,77,2.42861804638188
import,SU55,NA,1,77,2.39051123285686
home,SU55,NA,1,78,2.42218134314302
import,SU55,NA,1,78,2.38194075291124
home,SU55,NA,1,79,2.41253460828
import,SU55,NA,1,79,2.37300962012276
home,SU55,NA,1,80,2.40915684025519
import,SU55,NA,1,80,2.36478364276942
