"VREDNOST_12_PV","DRZ_ORIG_ZIVAL","STEV_ORIG_ZIVAL","PASMA","DAT_ROJSTVO"
109.7,"DE","0913148764",2,28-03-1993
96.5,"DE","0913148764",2,28-03-1993
100.7,"DE","0913148764",2,28-03-1993
102.7,"DE","0913148764",2,28-03-1993
102.3,"DE","0913148764",2,28-03-1993
100.2,"DE","0913148764",2,28-03-1993
109.8,"DE","0913148764",2,28-03-1993
87.7,"DK","224869",3,24-07-1987
95.3,"DK","224869",3,24-07-1987
102.8,"DK","224869",3,24-07-1987
97.8,"DK","224869",3,24-07-1987
85.9,"DK","224869",3,24-07-1987
115.5,"DK","224869",3,24-07-1987
90,"DK","224869",3,24-07-1987
94.6,"DK","224869",3,24-07-1987
88.9,"DK","224869",3,24-07-1987
104.8,"DK","224869",3,24-07-1987
95.2,"DK","224869",3,24-07-1987
93.4,"DK","224869",3,24-07-1987
108.3,"DK","224869",3,24-07-1987
89.2,"DK","224869",3,24-07-1987
89.4,"DK","224869",3,24-07-1987
102.8,"DK","224869",3,24-07-1987
79.4,"DK","224869",3,24-07-1987
108.3,"DK","224869",3,24-07-1987
89.4,"DK","224869",3,24-07-1987
94.6,"DK","224869",3,24-07-1987
80.5,"DK","224869",3,24-07-1987
88.3,"DK","224869",3,24-07-1987
87.3,"DK","224869",3,24-07-1987
98.1,"DK","224869",3,24-07-1987
103.4,"DK","224869",3,24-07-1987
106.9,"DK","224869",3,24-07-1987
93.8,"DK","224869",3,24-07-1987
102,"DK","230359",3,01-01-1950
111.4,"DK","230359",3,01-01-1950
111.7,"DK","230359",3,01-01-1950
97.6,"DK","230359",3,01-01-1950
97.6,"DK","230359",3,01-01-1950
104.2,"DK","230359",3,01-01-1950
76.4,"DK","230359",3,01-01-1950
101.8,"DK","230359",3,01-01-1950
97.5,"DK","230359",3,01-01-1950
96.5,"DK","230359",3,01-01-1950
94.1,"DK","230359",3,01-01-1950
101.6,"DK","230359",3,01-01-1950
97.7,"DK","230359",3,01-01-1950
101.3,"DK","230359",3,01-01-1950
96.1,"DK","230359",3,01-01-1950
87.4,"DK","230359",3,01-01-1950
99,"DK","230359",3,01-01-1950
118.3,"DK","230359",3,01-01-1950
107.9,"DK","230359",3,01-01-1950
107.7,"DK","230359",3,01-01-1950
94.2,"DK","230359",3,01-01-1950
77.4,"DK","230359",3,01-01-1950
98.6,"DK","230359",3,01-01-1950
108.6,"DK","230359",3,01-01-1950
93.8,"DK","230359",3,01-01-1950
86.8,"DK","230359",3,01-01-1950
99.8,"DE","0804594828",2,03-12-1981
100.3,"DE","0804594828",2,03-12-1981
117.5,"DE","0804594828",2,03-12-1981
98.1,"DE","0804594828",2,03-12-1981
101.3,"DE","0804594828",2,03-12-1981
101.1,"DE","0804594828",2,03-12-1981
116.9,"DE","0804594828",2,03-12-1981
93.2,"DE","0920791856",2,12-08-1982
94.1,"DE","0920791856",2,12-08-1982
96.7,"DE","0920791856",2,12-08-1982
88.5,"DE","0920791856",2,12-08-1982
94.1,"DE","0920791856",2,12-08-1982
94.1,"DE","0920791856",2,12-08-1982
104.4,"DE","0920791856",2,12-08-1982
91.6,"DE","0929428633",2,29-08-1982
108.6,"DE","0929428633",2,29-08-1982
96.5,"DE","0929428633",2,29-08-1982
92.1,"DE","0929428633",2,29-08-1982
94,"DE","0929428633",2,29-08-1982
108.8,"DE","0929428633",2,29-08-1982
88.4,"DE","0929428633",2,29-08-1982
103.4,"DE","0924929565",2,30-01-1982
89.4,"DE","0924929565",2,30-01-1982
91.7,"DE","0924929565",2,30-01-1982
99.8,"DE","0924929565",2,30-01-1982
94.1,"DE","0924929565",2,30-01-1982
92.6,"DE","0924929565",2,30-01-1982
108.1,"DE","0924929565",2,30-01-1982
91.1,"DE","0926428551",2,30-09-1981
95.8,"DE","0926428551",2,30-09-1981
95.1,"DE","0926428551",2,30-09-1981
94.7,"DE","0926428551",2,30-09-1981
110.1,"DE","0926428551",2,30-09-1981
94.6,"DE","0926428551",2,30-09-1981
112.2,"DE","0926428551",2,30-09-1981
94.6,"DE","0921534592",2,01-12-1982
100.3,"DE","0921534592",2,01-12-1982
103.5,"DE","0921534592",2,01-12-1982
97.1,"DE","0921534592",2,01-12-1982
99.7,"DE","0921534592",2,01-12-1982
103.2,"DE","0921534592",2,01-12-1982
109.8,"DE","0921534592",2,01-12-1982
89.7,"DE","0928528600",2,01-01-1950
92.2,"DE","0928528600",2,01-01-1950
94,"DE","0928528600",2,01-01-1950
92.3,"DE","0928528600",2,01-01-1950
92.2,"DE","0928528600",2,01-01-1950
86.3,"DE","0928528600",2,01-01-1950
101.4,"DE","0928528600",2,01-01-1950
94.8,"DE","0923360111",2,24-09-1982
102.3,"DE","0923360111",2,24-09-1982
90.4,"DE","0923360111",2,24-09-1982
95.3,"DE","0923360111",2,24-09-1982
95.9,"DE","0923360111",2,24-09-1982
95.2,"DE","0923360111",2,24-09-1982
107.7,"DE","0923360111",2,24-09-1982
