,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
Mazda RX4,-79.596425453236,2.13224061202147,-2.15333613340537,-2.70734373841985,-0.702352244758554,-0.314861057947828,-0.0986950180767451,-0.0778981206554519,-0.200009173272816,-0.29008190729001,0.105770558302965
Mazda RX4 Wag,-79.5985703157962,2.14748674875565,-2.21512370495472,-2.17828878200067,-0.884385862004615,-0.453438728110057,-0.00355459442397432,-0.0956663049882087,-0.353324348212155,-0.192835530542644,0.106904687860959
Datsun 710,-133.894096227719,-5.0575701851109,-2.13795030254934,0.346032956678917,1.10611111845264,1.17298583985856,0.00575558072823923,0.136247816824214,-0.197642257181537,0.0763435256530875,0.266871345549228
Hornet 4 Drive,8.51655879484699,44.9856296710911,1.23376276548334,0.827363116783171,0.424014455812083,-0.0578970455259716,-0.0243071678163424,0.221208000662537,0.355984416761787,-0.0905703921213864,0.20883537901189
Hornet Sportabout,128.686341893339,30.8174022216218,3.34342057033659,-0.521100003046246,0.736580140800529,-0.332909565980745,0.106304777087776,-0.0530171897322786,0.153271428249861,-0.188622172999471,-0.109256315084473
Valiant,-23.2201456102374,35.1065178032107,-3.25956187214875,1.40053601381791,0.802976787293229,-0.0883786374211042,0.238946304391142,0.423905505011446,0.10129437070764,-0.0376901005262318,0.275769281736655
Duster 360,159.309024709251,-32.2591966863896,0.648944088184819,0.198709007367905,0.786494469288195,0.0687398831684002,-0.52974726955541,-0.0593115277342609,0.220881389100882,-0.312991103982174,-0.100061377555662
Merc 240D,-112.615804620903,39.7021947611648,-0.46524413112072,0.337595738884862,-1.24454630544513,0.279500171660973,-0.145880597907576,0.319631038990147,0.279439231471412,0.190170681975192,-0.318993705403766
Merc 230,-103.534590860715,7.51310387381038,-1.58930973303001,4.02251950434901,-1.13565518372476,0.0279434843145042,0.594978629317684,-0.233493125072504,-0.12594247799221,-0.348668642624901,-0.359723618786036
Merc 280,-67.0468766080033,-6.20853559486834,-3.60719845383898,-0.319764403086163,-0.960393764879404,-0.529227412991966,-0.0174164791826001,-0.182496917666315,0.542677384788022,0.412218604947249,0.00814619713249914
Merc 280C,-66.9975138918194,-6.20638733444565,-5.02509991325056,0.145430212451626,-0.965230567288022,-0.441660279443336,0.19042509302539,-0.276002357669705,0.489034891652078,0.24679170414542,0.0369865809535794
Merc 450SE,55.21167236521,-10.373509087207,-1.62415224603969,0.129343929504349,0.847108657401162,-1.07313739572084,-0.0524988898695158,0.0823331155852062,-0.3102482328582,0.395382034734136,-0.107585555715606
Merc 450SL,55.1739103347954,-10.3618931245897,-0.725753087666434,0.306002297679053,0.807585475626177,-1.19723308511358,0.0265847942931879,0.0290973345996012,-0.199138164755935,0.0999397015325432,-0.112891465332348
Merc 450SLC,55.2516020141162,-10.3709335541309,-2.82101556131053,0.566956270326181,0.895233626861197,-0.97745701317514,0.201596932842476,-0.0519255561741134,-0.251174677971262,-0.0045859785059848,-0.0761576917600857
Cadillac Fleetwood,242.814893034465,52.501758111659,-0.970423657565861,0.142607577633176,-1.56365568885563,0.711984949061946,-0.000793317643924374,0.0916047621571485,-0.0807185591985499,-0.206068158029272,0.170982296276461
Lincoln Continental,236.36988601095,38.2807881610081,-1.09733141222001,0.437236811815952,-1.28674832569488,0.663545827596204,-0.100704533276888,0.0765947012039577,-0.214059265916981,0.0673129277506003,0.126108981656746
Chrysler Imperial,224.737944426012,16.1119412824945,2.9176286609439,0.901699791578159,-1.12932317803234,0.0597039437305694,-0.393453770562112,-0.00106870364787947,-0.286749331764812,0.393423115038801,-0.0184616751317289
Fiat 128,-172.363653900207,6.57552227809939,5.64883705775917,0.721919445227485,-0.0597989269170531,-0.565081750345651,-0.0786979380906909,0.0481860103480851,-0.265980368414673,0.245410709473,0.134667306834495
Honda Civic,-181.066910763927,17.7836386343776,3.28769310688846,-1.09260681646515,-0.705272319791349,-0.159104123184765,-0.239810495381186,-0.783033750864958,0.21647046321756,-0.200651516421504,0.167815468311623
Toyota Corolla,-179.697851933335,4.18821196495843,6.86362152979232,1.12279434764738,-0.149112069516758,-0.842137910403486,0.0427854114914784,-0.145950811455779,-0.193932595734495,-0.0344307857710128,0.104249028199519
Toyota Corona,-121.224099096051,-3.34536208299998,-3.15575419757394,1.89917737868338,1.18096701839008,0.598260398784184,-0.623016841683615,-0.0756372802721605,0.0612506420119824,-0.255306314510268,-0.224737027649408
Dodge Challenger,80.159385595315,34.9832140477832,-1.75865888869116,-1.45322890961365,1.1209818342076,-0.296293240461608,0.195980982111421,0.292694822998841,0.0958283307650388,-0.0812123955322011,-0.0095338524608201
AMC Javelin,67.572430587519,28.8940668933876,-2.50158553193076,-1.04827802709184,1.17439806375186,-0.339180573876565,0.338630316069336,-0.129489459434738,0.0336540558546715,-0.101377702236732,-0.04949697958859
Camaro Z28,150.354631494465,-36.633575414812,-0.619003831178339,-0.174397844733658,0.939184844894278,0.303632324194443,-0.638165484672671,-0.477845329752817,0.116777377825058,0.117995875489806,-0.154384134598654
Pontiac Firebird,164.652521654351,48.2398795336415,5.05284272788994,-0.618337485984351,0.167250380948602,-0.180924730458861,0.0396307666080454,0.0608445766947245,0.133103510709168,-0.0721824714752002,-0.080397525589241
Fiat X1-9,-171.89723146286,6.64374639238183,0.713061915186576,-0.0617433069102143,0.574065928183491,0.312219660827289,0.0257732879036663,-0.0505774846581556,-0.0925105242969673,-0.01592671219459,0.214774064836163
Porsche 914-2,-123.804988140701,2.03335584217317,1.45787366988272,-1.9608343832667,-0.0806249203477437,1.26617843620529,0.175758114579403,0.0492740992336081,-0.310683737650284,0.112250662621348,-0.602852084958193
Lotus Europa,-137.082789153942,-28.6756469272499,5.55556704603712,-0.525418224372717,0.346396025839483,0.477247836385105,0.00390660551081135,0.662853958314141,0.424959261859526,0.0444247238726607,-0.0390923302738396
Ford Pantera L,159.41322233754,-53.3183470978796,2.6378142036641,-0.697705196509909,0.699813592773412,1.22719253216876,0.936551898968413,-0.480278194352355,0.124311929542539,0.188879096966515,0.0728327515221985
Ferrari Dino,-64.76239640917,-62.9542801466493,-2.38294588578793,-1.85504938505451,-1.13079548382288,-0.265125340273227,-0.0119497293768991,0.512050319435177,-0.0433589666473207,-0.135211779749208,-0.0933433446004625
Maserati Bora,145.361702625498,-139.049148628433,1.58189814570373,1.15729323967409,-0.96654048038908,-0.271053516123711,0.0470010479986308,0.237413506920817,0.0388981670180349,-0.20690501331622,0.168148047251632
