Generation,Group,YearEBV,EBVi,EBVh
1,home,21,-0.00981819656694005,0.309064253940164
1,import,21,-0.00791578146004871,0.345178461330163
2,home,21,-0.0125298210620896,0.0622649178827324
2,import,21,-0.0147594357541575,0.0708622778427724
3,home,21,-0.0107777460104046,0.315244015809249
3,import,21,-0.0117589552317497,0.32852252123175
4,home,21,-0.0269617996289425,0.00667428342648423
4,import,21,-0.0282932700808688,0.0245034891612754
5,home,21,-0.000951151527680449,-0.0132237829771082
5,import,21,-0.00491019187428309,-0.0179575252959394
6,home,21,-0.0487313575717896,-0.0602610047518953
6,import,21,-0.0460415434487987,-0.0673489521191976
7,home,21,0.022782345747366,0.0787152266840338
7,import,21,0.0123097471861622,0.0606293039095222
8,home,21,0.0517314876646984,0.448798155013315
8,import,21,0.0511350246210806,0.444869514022909
9,home,21,-0.0330017341772005,0.346975055713789
9,import,21,-0.0253016293115398,0.356364234396442
10,home,21,-0.38919236563895,0.546097622835666
10,import,21,-0.399265196838874,0.540305674816402
11,home,21,-0.869719887068985,0.516539102046528
11,import,21,-0.86458157501454,0.503193047486332
12,home,21,-1.37131440706784,0.281115869409851
12,import,21,-1.36602153679543,0.29463007076453
13,home,21,-1.70900249318418,0.189871043388306
13,import,21,-1.7158232908828,0.202173844547567
14,home,21,-1.93736283825339,0.074908718784511
14,import,21,-1.94195376744388,0.0820255684058635
15,home,21,-1.90781788107876,0.282468803374986
15,import,21,-1.90678168248919,0.273186203664836
16,home,21,-1.48409670479886,0.693425348721738
16,import,21,-1.79831107152485,0.230948142123743
17,home,21,-0.595805389068411,1.35794181389134
17,import,21,-0.891033458918919,0.72224100980681
18,home,21,-0.000831562830254042,-0.0113057393337182
18,import,21,-0.000837064327146172,0.00852857781670533
19,home,21,0.00106207500694123,-0.128378961131421
19,import,21,0.000647492153774896,-0.13806965036012
20,home,21,0.00564570044080019,0.0794587297580833
20,import,21,0.00501682494586501,0.0870637009836443
21,home,21,-0.00340449809104599,-0.13022169201668
21,import,21,-0.00289294435179831,-0.129446159820747
1,home,22,-0.00956038390435486,0.309054673353356
1,import,22,-0.00754348294097182,0.345170275288183
2,home,22,-0.0171372927381638,0.0622588539730446
2,import,22,-0.01896588901035,0.0708504624002791
3,home,22,-0.0103473248393064,0.315244782531792
3,import,22,-0.011427505188876,0.328519269765933
4,home,22,-0.0408186776020408,0.00664657905612245
4,import,22,-0.041822933284427,0.0244608233156192
5,home,22,0.0199907416982014,-0.0131895528439617
5,import,22,0.0148657031394815,-0.0178984424133976
6,home,22,-0.0569157590615667,-0.0600501363990351
6,import,22,-0.052226344576627,-0.0671330420853744
7,home,22,0.0449855454648605,0.0783896902072479
7,import,22,0.0321854275147518,0.0602796460152725
8,home,22,0.0722939331619775,0.449072431736714
8,import,22,0.071749650826102,0.445158315454125
9,home,22,-0.0185034131126058,0.348916044435811
9,import,22,-0.00896547424627469,0.358041155393323
10,home,22,-0.323894591032728,0.563306844691801
10,import,22,-0.336137219206533,0.557949100467972
11,home,22,-0.850000970844178,0.601912668706668
11,import,22,-0.843546532432244,0.58867969867163
12,home,22,-1.36041429665195,0.372155122185177
12,import,22,-1.35420522041282,0.386776260916744
13,home,22,-1.69304122353708,0.258710282218891
13,import,22,-1.70192153152863,0.274661952031595
14,home,22,-1.93516977367454,0.158304048240524
14,import,22,-1.93688741975263,0.168874773866239
15,home,22,-1.72336518485269,0.372847297499713
15,import,22,-1.71908764670562,0.361962554707257
16,home,22,-1.32994594615249,0.7124824339493
16,import,22,-1.64545988361744,0.249774733087923
17,home,22,-0.624853440126224,1.52783437060021
17,import,22,-0.828234614333754,0.79922113363388
18,home,22,-0.753973927913759,1.50034720752991
18,import,22,-0.998819357462187,0.7088165206828
19,home,22,-0.00110911915954583,-0.0140127927742011
19,import,22,-0.00193491303651139,0.0344666377520888
20,home,22,0.000539488115455808,-0.128375430231374
20,import,22,0.000182944500926355,-0.138065422886753
21,home,22,0.00586573395557106,0.0794485511328216
21,import,22,0.00545340412808109,0.0870528069039392
22,home,22,-0.00920711257847793,-0.130215037998378
22,import,22,-0.00873102134613161,-0.129438747140049
1,home,23,-0.00842326635901583,0.309033884126141
1,import,23,-0.00652890761451931,0.345151133810739
2,home,23,-0.0189070044545559,0.0622402305909457
2,import,23,-0.0204802312861961,0.0708307281021049
3,home,23,-0.00985817156647399,0.315227377117919
3,import,23,-0.0108482991564311,0.328501675595597
4,home,23,-0.042168315994898,0.00661935051020408
4,import,23,-0.043327240430915,0.0244303847435305
5,home,23,0.0247523013723429,-0.0132168514762906
5,import,23,0.019843602312457,-0.0179132157960541
6,home,23,-0.0502831351355387,-0.060000586061337
6,import,23,-0.0452811872603219,-0.0670959236132494
7,home,23,0.0471478491073289,0.0781544583084404
7,import,23,0.0343931991380308,0.0600187675078098
8,home,23,0.0774473537582494,0.449196481698506
8,import,23,0.0762991062975819,0.445336690362143
9,home,23,-0.0118790040241215,0.349092234752406
9,import,23,-0.00219773008663509,0.358062454753379
10,home,23,-0.316124599339655,0.56291047426275
10,import,23,-0.329006628626202,0.557248505382833
11,home,23,-0.817199505209029,0.608098421724058
11,import,23,-0.81109976875189,0.595291248021403
12,home,23,-1.32950743587244,0.404613468903346
12,import,23,-1.32110366932426,0.420038518490544
13,home,23,-1.67619113661746,0.284763233466728
13,import,23,-1.68407420117668,0.301972007902195
14,home,23,-1.91914147187997,0.189268029257136
14,import,23,-1.92210200638571,0.201768320247366
15,home,23,-1.73939781588674,0.453567513415109
15,import,23,-1.73107392484282,0.444336465889915
16,home,23,-1.27538774080748,0.793738338189292
16,import,23,-1.57947050307801,0.363468435616594
17,home,23,-0.599556582547656,1.55226097624936
17,import,23,-0.793920259821354,0.819619228483607
18,home,23,-0.704725315643071,1.52908576115528
18,import,23,-0.956384890517502,0.743527692226664
19,home,23,-0.785709768645603,1.62528380173144
19,import,23,-0.708590122777136,0.722435969445087
20,home,23,-0.000208451082206035,0.0265921509222164
20,import,23,-0.122198743808382,0.237023027248749
21,home,23,0.000601036225127256,-0.128401425236002
21,import,23,0.000262213443723946,-0.138091629776517
22,home,23,0.00585637724121889,0.0794284127855315
22,import,23,0.00555160107118176,0.0870335074591108
23,home,23,-0.0101809916471678,-0.130246550419321
23,import,23,-0.00973212238232913,-0.129470700800278
1,home,24,-0.00143750099457087,0.308971431566362
1,import,24,-0.000631258370636669,0.345072320795547
2,home,24,-0.0223466493860154,0.0624621081741735
2,import,24,-0.024366121585068,0.0710575097790441
3,home,24,-0.0385338389213873,0.315178505276301
3,import,24,-0.0391326632247972,0.328476634893395
4,home,24,-0.0308835057328386,0.00658138115143785
4,import,24,-0.0315116452506932,0.0243636805464418
5,home,24,0.0292124499240832,-0.0125442695690259
5,import,24,0.0235380290731819,-0.0172658149380592
6,home,24,-0.0777625700516885,-0.0619296655938433
6,import,24,-0.0720092403463961,-0.0688736767483088
7,home,24,-0.0507933946613407,0.0759304803554475
7,import,24,-0.0653238492167072,0.0578477095105866
8,home,24,-0.220670177235151,0.445301212207943
8,import,24,-0.22164747250376,0.441552725769987
9,home,24,-0.769019262764699,0.345213453661139
9,import,24,-0.748952944625159,0.354074856491856
10,home,24,-1.35359346971782,0.561910854154042
10,import,24,-1.37032117098807,0.556230199361751
11,home,24,-1.99055056983416,0.607452757657492
11,import,24,-1.9805379455089,0.594252734529487
12,home,24,-2.50872500902765,0.402514917905437
12,import,24,-2.50441373549008,0.418745786258072
13,home,24,-2.85505244968516,0.295589022258102
13,import,24,-2.86731125593333,0.313132264678824
14,home,24,-3.08684689537436,0.204097511426065
14,import,24,-3.09100000618071,0.216462622661475
15,home,24,-2.91064014850854,0.486811227033131
15,import,24,-2.90175616383078,0.477062349853921
16,home,24,-2.34873700161006,0.779981022952922
16,import,24,-2.75109191269999,0.415595250900467
17,home,24,-1.35900064391422,1.39436750484415
17,import,24,-1.37089291042245,0.826186522170029
18,home,24,-1.50525989593843,1.39200506018819
18,import,24,-1.81045067463159,0.757582712569144
19,home,24,-1.68025686383149,1.48936555485308
19,import,24,-1.47844900373282,0.734114393550418
20,home,24,-1.62092154803441,1.72133677101763
20,import,24,-1.36406078776098,0.847364075021135
21,home,24,0.00809400784682713,0.0262576751174325
21,import,24,-0.522947413350599,0.383545884564029
22,home,24,-0.00285896594747802,-0.128375631367422
22,import,24,-0.00239405327234831,-0.138063591595646
23,home,24,-0.00195129655152361,0.0794424057687834
23,import,24,-0.00122477111379866,0.0870453981363741
24,home,24,-0.0103394805895981,-0.130223625014479
24,import,24,-0.0105138725939632,-0.12945011781774
