Generation N Sum home import Population Rep Import Scenario Cor
20 8640 -0.0998744302648148 -0.0998744302648148 0 home 0 100_100 ClassGen 0.9
21 8640 1.04985600857639 1.04985600857639 0 home 0 100_100 ClassGen 0.9
22 8640 1.11506390020554 1.11506390020554 0 home 0 100_100 ClassGen 0.9
23 8640 1.19968497468926 1.19968497468926 0 home 0 100_100 ClassGen 0.9
24 8640 1.52569634115098 1.52569634115098 0 home 0 100_100 ClassGen 0.9
25 8640 1.69791179588292 1.69791179588292 0 home 0 100_100 ClassGen 0.9
26 8640 1.95169715182096 1.95169715182096 0 home 0 100_100 ClassGen 0.9
27 8640 2.2484371032285 2.2484371032285 0 home 0 100_100 ClassGen 0.9
28 8640 2.41507083634255 2.41507083634255 0 home 0 100_100 ClassGen 0.9
29 8640 2.56321814265735 2.56321814265735 0 home 0 100_100 ClassGen 0.9
30 8640 2.68257593317323 2.68257593317323 0 home 0 100_100 ClassGen 0.9
31 8640 3.37759620422625 1.30968703986314 2.06790916436311 home 0 100_100 ClassGen 0.9
32 8640 3.5548623691627 1.4086771395348 2.1461852296279 home 0 100_100 ClassGen 0.9
33 8640 3.86629121813951 1.21080264861784 2.65548856952168 home 0 100_100 ClassGen 0.9
34 8640 4.19414276890121 0.902725133998576 3.29141763490264 home 0 100_100 ClassGen 0.9
35 8640 4.67469576627462 0.859437394932873 3.81525837134174 home 0 100_100 ClassGen 0.9
36 8640 4.94137347710531 0.646604945551346 4.29476853155397 home 0 100_100 ClassGen 0.9
37 8640 5.36364186249397 0.463824563213361 4.89981729928061 home 0 100_100 ClassGen 0.9
38 8640 5.70254533562604 0.31231183921582 5.39023349641022 home 0 100_100 ClassGen 0.9
39 8640 6.06996564292628 0.310680466281207 5.75928517664508 home 0 100_100 ClassGen 0.9
40 8640 6.20651987790365 0.0276751460935229 6.17884473181012 home 0 100_100 ClassGen 0.9
41 8640 6.58796303860734 -0.249346032391414 6.83730907099875 home 0 100_100 ClassGen 0.9
42 8640 7.01675517117036 -0.258075237323743 7.2748304084941 home 0 100_100 ClassGen 0.9
43 8640 7.44757012665361 -0.344048558694084 7.79161868534769 home 0 100_100 ClassGen 0.9
44 8640 7.76518193111573 -0.477415070760991 8.24259700187672 home 0 100_100 ClassGen 0.9
45 8640 8.19063369848585 -0.508364235703422 8.69899793418927 home 0 100_100 ClassGen 0.9
46 8640 8.5583575287678 -0.609283504985184 9.16764103375299 home 0 100_100 ClassGen 0.9
47 8640 8.83283790747667 -0.737792301306116 9.57063020878278 home 0 100_100 ClassGen 0.9
48 8640 9.11471798751682 -0.74007333011886 9.85479131763568 home 0 100_100 ClassGen 0.9
49 8640 9.44123051794019 -0.857079234770701 10.2983097527109 home 0 100_100 ClassGen 0.9
50 8640 9.77201164687184 -0.923705962754735 10.6957176096266 home 0 100_100 ClassGen 0.9
20 8640 -0.0313768641763079 0 -0.0313768641763079 import 0 100_100 ClassGen 0.9
21 8640 1.81165911067042 0 1.81165911067042 import 0 100_100 ClassGen 0.9
22 8640 1.6148233655991 0 1.6148233655991 import 0 100_100 ClassGen 0.9
23 8640 1.94796396084016 0 1.94796396084016 import 0 100_100 ClassGen 0.9
24 8640 2.38142531048378 0 2.38142531048378 import 0 100_100 ClassGen 0.9
25 8640 2.69606535576269 0 2.69606535576269 import 0 100_100 ClassGen 0.9
26 8640 2.94590628818745 0 2.94590628818745 import 0 100_100 ClassGen 0.9
27 8640 3.31173947383088 0 3.31173947383088 import 0 100_100 ClassGen 0.9
28 8640 3.6534087390901 0 3.6534087390901 import 0 100_100 ClassGen 0.9
29 8640 3.95853588285337 0 3.95853588285337 import 0 100_100 ClassGen 0.9
30 8640 4.23067412600863 0 4.23067412600863 import 0 100_100 ClassGen 0.9
31 8640 4.45664111156885 0 4.45664111156885 import 0 100_100 ClassGen 0.9
32 8640 4.66255257163821 0 4.66255257163821 import 0 100_100 ClassGen 0.9
33 8640 4.99145945025645 0 4.99145945025645 import 0 100_100 ClassGen 0.9
34 8640 5.31921437222999 0 5.31921437222999 import 0 100_100 ClassGen 0.9
35 8640 5.64092673895197 0 5.64092673895197 import 0 100_100 ClassGen 0.9
36 8640 5.997835789776 0 5.997835789776 import 0 100_100 ClassGen 0.9
37 8640 6.40829748172961 0 6.40829748172961 import 0 100_100 ClassGen 0.9
38 8640 6.70365417240946 0 6.70365417240946 import 0 100_100 ClassGen 0.9
39 8640 7.07510885043669 0 7.07510885043669 import 0 100_100 ClassGen 0.9
40 8640 7.37182698048117 0 7.37182698048117 import 0 100_100 ClassGen 0.9
41 8640 7.72118963633646 0 7.72118963633646 import 0 100_100 ClassGen 0.9
42 8640 8.04448261600338 0 8.04448261600338 import 0 100_100 ClassGen 0.9
43 8640 8.41109343043058 0 8.41109343043058 import 0 100_100 ClassGen 0.9
44 8640 8.7920423604869 0 8.7920423604869 import 0 100_100 ClassGen 0.9
45 8640 9.13922002753956 0 9.13922002753956 import 0 100_100 ClassGen 0.9
