,Category,EBVGen,Cor,Group,Trait,Scenario,Rep,Generation,Strategy
0,Fathers,EBV21,0.16143057765398663,home,2,0_0,0,21,ClassGen
1,Female candidates,EBV21,0.014295318136561258,home,2,0_0,0,21,ClassGen
2,Male candidates,EBV21,0.5493109483151053,home,2,0_0,0,21,ClassGen
3,Male candidates1,EBV21,0.048857096439459895,home,2,0_0,0,21,ClassGen
4,Mothers,EBV21,0.3484320549147398,home,2,0_0,0,21,ClassGen
0,Fathers,EBV22,0.1201205240091357,home,2,0_0,0,22,ClassGen
1,Female candidates,EBV22,0.17680999759441615,home,2,0_0,0,22,ClassGen
2,Male candidates,EBV22,0.3800291566236387,home,2,0_0,0,22,ClassGen
3,Male candidates1,EBV22,0.19784891483163367,home,2,0_0,0,22,ClassGen
4,Mothers,EBV22,0.42360228212460166,home,2,0_0,0,22,ClassGen
0,Fathers,EBV23,0.2822298323407391,home,2,0_0,0,23,ClassGen
1,Female candidates,EBV23,0.2032433635438194,home,2,0_0,0,23,ClassGen
2,Male candidates,EBV23,-0.04044628788920808,home,2,0_0,0,23,ClassGen
3,Male candidates1,EBV23,0.08474898702520199,home,2,0_0,0,23,ClassGen
4,Mothers,EBV23,0.5096282557724868,home,2,0_0,0,23,ClassGen
0,Fathers,EBV24,0.6616433645718093,home,2,0_0,0,24,ClassGen
1,Female candidates,EBV24,0.33888112786234414,home,2,0_0,0,24,ClassGen
2,Male candidates,EBV24,0.842234858157099,home,2,0_0,0,24,ClassGen
3,Male candidates1,EBV24,0.213576258760102,home,2,0_0,0,24,ClassGen
4,Mothers,EBV24,0.5788674810828484,home,2,0_0,0,24,ClassGen
0,Fathers,EBV25,0.3651853796141786,home,2,0_0,0,25,ClassGen
1,Female candidates,EBV25,0.3508322916022358,home,2,0_0,0,25,ClassGen
2,Male candidates,EBV25,0.948136900650058,home,2,0_0,0,25,ClassGen
3,Male candidates1,EBV25,0.14781259744941896,home,2,0_0,0,25,ClassGen
4,Mothers,EBV25,0.6021672442198204,home,2,0_0,0,25,ClassGen
0,Fathers,EBV26,0.8058344306112145,home,2,0_0,0,26,ClassGen
1,Female candidates,EBV26,0.3986202648937671,home,2,0_0,0,26,ClassGen
2,Male candidates,EBV26,0.7795739768562447,home,2,0_0,0,26,ClassGen
3,Male candidates1,EBV26,0.5794298981373357,home,2,0_0,0,26,ClassGen
4,Mothers,EBV26,0.6050884464240236,home,2,0_0,0,26,ClassGen
0,Fathers,EBV27,0.6875205585883744,home,2,0_0,0,27,ClassGen
1,Female candidates,EBV27,0.34738307705547483,home,2,0_0,0,27,ClassGen
2,Male candidates,EBV27,0.9829099913948046,home,2,0_0,0,27,ClassGen
3,Male candidates1,EBV27,0.32842744186474004,home,2,0_0,0,27,ClassGen
4,Mothers,EBV27,0.5841549586914778,home,2,0_0,0,27,ClassGen
