strategy,scenario,Group,Generation,cat,trait,gvNormUnres1,gvNormUnres3
ClassGen,0_100,home,11,pb,2,2.6127730395916666,1.7833490992999999
ClassGen,0_100,home,11,pb,3,2.9060670511583333,1.9560554535833337
ClassGen,0_100,home,12,pb,2,2.7593381450499996,1.5780618129083335
ClassGen,0_100,home,12,pb,3,2.4434224117833336,0.9667462759583333
ClassGen,0_100,home,13,pb,2,2.7957541063249995,1.9159444952583335
ClassGen,0_100,home,13,pb,3,2.4128307855916664,2.0532797261666667
ClassGen,0_100,home,14,pb,2,2.6500072648499997,1.82248380025
ClassGen,0_100,home,14,pb,3,2.933366849791667,2.1501049775
ClassGen,0_100,home,15,pb,2,2.8344316436250003,1.9781368667416668
ClassGen,0_100,home,15,pb,3,2.990132054375,2.155908822358333
ClassGen,0_100,home,16,pb,2,2.725860871583334,1.6861055410333332
ClassGen,0_100,home,16,pb,3,3.779334034925,2.558428317066667
ClassGen,0_100,home,17,pb,2,2.999604549008333,1.8255193583416667
ClassGen,0_100,home,17,pb,3,2.1230081869916666,1.582796095541667
ClassGen,0_100,home,18,pb,2,3.0094254623833336,2.101472836375
ClassGen,0_100,home,18,pb,3,2.563715441558333,1.5789945678833337
ClassGen,0_100,home,19,pb,2,2.7464645786333333,1.67787173695
ClassGen,0_100,home,19,pb,3,3.0222683100916665,1.8047136524666667
ClassGen,0_100,home,20,pb,2,2.619504440275,1.8091568552916666
ClassGen,0_100,home,20,pb,3,2.7204733276333335,1.9817278895916666
ClassGen,0_100,home,21,pb,2,3.6536070811666668,2.7766847858
ClassGen,0_100,home,21,pb,3,3.4003759685333335,2.6700978172333336
ClassGen,0_100,home,22,pb,2,3.790299419991667,2.2865164947000003
ClassGen,0_100,home,22,pb,3,3.7241192928666664,2.3421969937916667
ClassGen,0_100,home,23,pb,2,3.5935804268166667,2.7374952408250004
ClassGen,0_100,home,23,pb,3,3.489014769058334,2.5357211718833335
ClassGen,0_100,home,24,pb,2,3.785980519858333,2.954206424341667
ClassGen,0_100,home,24,pb,3,4.021434972291667,2.2065835967
ClassGen,0_100,home,25,pb,2,4.565107288699999,2.8502369789583337
ClassGen,0_100,home,25,pb,3,4.222525452391666,3.3041441892666668
ClassGen,0_100,home,26,pb,2,4.522926384266667,3.60029879945
ClassGen,0_100,home,26,pb,3,4.747053638683333,3.8534249337750004
ClassGen,0_100,home,27,pb,2,5.15309270175,3.612808020241667
ClassGen,0_100,home,27,pb,3,4.498485551383333,3.3939024948500003
ClassGen,0_100,home,28,pb,2,4.220976204725,3.081548486158333
ClassGen,0_100,home,28,pb,3,4.6402032996,3.4262387930666667
ClassGen,0_100,home,29,pb,2,5.006507280891667,3.839155534133333
ClassGen,0_100,home,29,pb,3,4.472240101033333,3.0322897093166667
ClassGen,0_100,home,30,pb,2,5.5207160055083335,4.271022574041667
ClassGen,0_100,home,30,pb,3,4.853558002483333,3.478530466475
ClassGen,0_100,home,31,pb,2,5.838522320366667,4.135263847175
ClassGen,0_100,home,31,pb,3,5.534336390408334,4.774600030783334
ClassGen,0_100,home,32,pb,2,5.685296265208334,3.715271509475
ClassGen,0_100,home,32,pb,3,5.732993915291668,4.899840028183333
ClassGen,0_100,home,33,pb,2,6.223533988691666,4.597039275258333
ClassGen,0_100,home,33,pb,3,6.138641432283333,6.1430177222083335
ClassGen,0_100,home,34,pb,2,6.826912732258333,5.111582221966667
ClassGen,0_100,home,34,pb,3,5.554174333108333,4.927682337466667
ClassGen,0_100,home,35,gpb,2,7.059954640694445,5.150204081761111
ClassGen,0_100,home,35,gpb,3,5.894598733844998,5.138592728287381
ClassGen,0_100,home,36,gpb,2,6.239405344690318,4.814514590843493
ClassGen,0_100,home,36,gpb,3,6.074055800306667,5.410293773733334
ClassGen,0_100,home,37,gpb,2,6.755767884991666,5.350007555703571
ClassGen,0_100,home,37,gpb,3,5.694959720249206,5.9633157234242065
ClassGen,0_100,home,38,gpb,2,7.461794955133333,5.768715962294444
ClassGen,0_100,home,38,gpb,3,6.001088385627778,6.012953502966667
ClassGen,0_100,home,39,gpb,2,7.624789757538889,5.868187011194444
ClassGen,0_100,home,39,gpb,3,6.897978183138889,6.675074812316667
ClassGen,0_100,home,40,gpb,2,8.685579223705554,6.675963164766667
ClassGen,0_100,home,40,gpb,3,6.792024017599999,6.630723891961111
ClassGen,0_100,home,41,gpb,2,9.200285857866666,7.206212549788888
ClassGen,0_100,home,41,gpb,3,8.173651648488889,7.437474362038889
ClassGen,0_100,home,42,gpb,2,9.769964133744445,7.749062081811111
ClassGen,0_100,home,42,gpb,3,8.469330506711112,8.210852450394443
ClassGen,0_100,home,43,gpb,2,10.728571856499999,8.067401352016667
ClassGen,0_100,home,43,gpb,3,9.183900673400002,9.250943757499998
ClassGen,0_100,home,44,gpb,2,10.058447387361111,8.020378938344443
ClassGen,0_100,home,44,gpb,3,8.612806825272221,8.46289780065
ClassGen,0_100,home,45,gpb,2,11.125326417944445,8.818322781711112
ClassGen,0_100,home,45,gpb,3,8.976258361033333,8.821291578972222
ClassGen,0_100,home,46,gpb,2,11.183696860322222,9.123021791816667
ClassGen,0_100,home,46,gpb,3,9.301263787477778,9.157740979611113
ClassGen,0_100,home,47,gpb,2,11.441448684238887,9.717606853455555
ClassGen,0_100,home,47,gpb,3,10.104122779638887,9.980245638355555
ClassGen,0_100,home,48,gpb,2,12.08783153545,9.886524384361111
ClassGen,0_100,home,48,gpb,3,9.621676741616668,9.820598032694445
ClassGen,0_100,import,11,pb,2,4.512694813953334,3.7403882789100003
ClassGen,0_100,import,11,pb,3,3.8853124265733334,4.516738127516667
ClassGen,0_100,import,12,pb,2,4.0135223666833335,3.49417154112
ClassGen,0_100,import,12,pb,3,3.791585629443334,4.294215209906667
ClassGen,0_100,import,13,pb,2,4.210783081280001,3.029842669556667
ClassGen,0_100,import,13,pb,3,3.525873354156667,4.211613320663333
ClassGen,0_100,import,14,pb,2,3.8139382144666665,3.4544382481633336
