strategy,scenario,Group,Generation,cat,trait,gvNormUnres1,gvNormUnres2
ClassGen,0_100,home,11,pb,2,2.6127730395916666,2.5022925463416668
ClassGen,0_100,home,12,pb,2,2.7593381450499996,2.0628640355416663
ClassGen,0_100,home,13,pb,2,2.7957541063249995,2.3953410577083334
ClassGen,0_100,home,14,pb,2,2.6500072648499997,1.8790418169083332
ClassGen,0_100,home,15,pb,2,2.8344316436250003,2.3156505986500004
ClassGen,0_100,home,16,pb,2,2.725860871583334,2.1060620504166665
ClassGen,0_100,home,17,pb,2,2.999604549008333,2.0921660040583334
ClassGen,0_100,home,18,pb,2,3.0094254623833336,2.7843218711916666
ClassGen,0_100,home,19,pb,2,2.7464645786333333,1.5709324018500002
ClassGen,0_100,home,20,pb,2,2.619504440275,2.271074807858333
ClassGen,0_100,home,21,pb,2,3.6536070811666668,3.0268649290500007
ClassGen,0_100,home,22,pb,2,3.790299419991667,2.7971259030750004
ClassGen,0_100,home,23,pb,2,3.5935804268166667,2.6752254877499997
ClassGen,0_100,home,24,pb,2,3.785980519858333,3.105850427875
ClassGen,0_100,home,25,pb,2,4.565107288699999,3.39321148935
ClassGen,0_100,home,26,pb,2,4.522926384266667,4.333302535516666
ClassGen,0_100,home,27,pb,2,5.15309270175,3.757701014275
ClassGen,0_100,home,28,pb,2,4.220976204725,3.5012946594916676
ClassGen,0_100,home,29,pb,2,5.006507280891667,4.112741903625
ClassGen,0_100,home,30,pb,2,5.5207160055083335,4.8927561411000005
ClassGen,0_100,home,31,pb,2,5.838522320366667,5.711061445508334
ClassGen,0_100,home,32,pb,2,5.685296265208334,5.212961530333334
ClassGen,0_100,home,33,pb,2,6.223533988691666,5.928179703341667
ClassGen,0_100,home,34,pb,2,6.826912732258333,6.320348154341667
ClassGen,0_100,home,35,gpb,2,7.059954640694445,6.519938191966666
ClassGen,0_100,home,36,gpb,2,6.239405344690318,5.955323455941588
ClassGen,0_100,home,37,gpb,2,6.755767884991666,6.613770315775199
ClassGen,0_100,home,38,gpb,2,7.461794955133333,7.075195805972222
ClassGen,0_100,home,39,gpb,2,7.624789757538889,7.514159683166667
ClassGen,0_100,home,40,gpb,2,8.685579223705554,8.116531953316667
ClassGen,0_100,home,41,gpb,2,9.200285857866666,9.16983308268889
ClassGen,0_100,home,42,gpb,2,9.769964133744445,9.325416283805556
ClassGen,0_100,home,43,gpb,2,10.728571856499999,10.601946528577779
ClassGen,0_100,home,44,gpb,2,10.058447387361111,10.1939226954
ClassGen,0_100,home,45,gpb,2,11.125326417944445,10.911989909616667
ClassGen,0_100,home,46,gpb,2,11.183696860322222,11.563284261116666
ClassGen,0_100,home,47,gpb,2,11.441448684238887,11.465784756877776
ClassGen,0_100,home,48,gpb,2,12.08783153545,12.245864627522224
ClassGen,0_100,import,11,pb,2,4.512694813953334,4.75634084435
ClassGen,0_100,import,12,pb,2,4.0135223666833335,4.40734353582
ClassGen,0_100,import,13,pb,2,4.210783081280001,4.540544556663334
ClassGen,0_100,import,14,pb,2,3.8139382144666665,4.379275355063334
ClassGen,0_100,import,15,pb,2,4.173130848226666,4.217263037416667
ClassGen,0_100,import,16,pb,2,4.244887561333333,4.47474430416
ClassGen,0_100,import,17,pb,2,3.9942120934433336,4.293036318096667
ClassGen,0_100,import,18,pb,2,4.192827396559999,4.523554458566667
ClassGen,0_100,import,19,pb,2,3.855598786986667,4.246452784943334
ClassGen,0_100,import,20,pb,2,3.7834315153733336,3.911356118303333
ClassGen,0_100,import,21,pb,2,5.7749236638033326,6.046424232503333
ClassGen,0_100,import,22,pb,2,5.57203054602,6.123143259
ClassGen,0_100,import,23,pb,2,5.3397202480566675,5.987903492116668
ClassGen,0_100,import,24,pb,2,5.66581651036,6.00514248211
ClassGen,0_100,import,25,gpb,2,5.08156098832598,5.64316725261089
ClassGen,0_100,import,26,gpb,2,5.051234604154978,5.218389604421286
ClassGen,0_100,import,27,gpb,2,5.367035567447402,5.800988440990401
ClassGen,0_100,import,28,gpb,2,5.7807355454266665,6.094608725817778
ClassGen,0_100,import,29,gpb,2,5.826280737824445,6.187235047964445
ClassGen,0_100,import,30,gpb,2,5.331902945468889,5.7219691260911105
ClassGen,0_100,import,31,gpb,2,7.067801787653333,7.736899039662223
ClassGen,0_100,import,32,gpb,2,7.35002876404,7.963403142935555
ClassGen,0_100,import,33,gpb,2,7.750540982253334,8.238391175555556
ClassGen,0_100,import,34,gpb,2,8.181799508951112,8.855523647717776
ClassGen,0_100,import,35,gpb,2,8.313543071171111,9.095887734366665
ClassGen,0_100,import,36,gpb,2,8.85596153083778,9.443357479373335
ClassGen,0_100,import,37,gpb,2,9.333766585073333,10.049490342464445
ClassGen,0_100,import,38,gpb,2,9.05709111468889,9.90631357596
ClassGen,0_100,import,39,gpb,2,10.133612629060002,10.983327726028888
ClassGen,0_100,import,40,gpb,2,10.154849789235557,10.936371145662221
ClassGen,0_100,import,41,gpb,2,10.531764202022222,11.388699555515556
ClassGen,0_100,import,42,gpb,2,10.733859516355556,11.732341888651112
ClassGen,0_100,import,43,gpb,2,11.086260539179998,12.145227469235556
ClassGen,0_100,import,44,gpb,2,11.669650183693335,12.51283528342889
ClassGen,0_100,import,45,gpb,2,11.972991686962223,13.005584742931108
ClassGen,0_100,import,46,gpb,2,12.166940254559998,13.261153532286665
ClassGen,0_100,import,47,gpb,2,12.822934181828886,13.853845240779998
ClassGen,0_100,import,48,gpb,2,13.010448638984442,14.04214962231778
ClassGen,100_100,home,11,pb,2,2.6127730395916666,2.5022925463416668
ClassGen,100_100,home,12,pb,2,2.7593381450499996,2.0628640355416663
ClassGen,100_100,home,13,pb,2,2.7957541063249995,2.3953410577083334
ClassGen,100_100,home,14,pb,2,2.6500072648499997,1.8790418169083332
ClassGen,100_100,home,15,pb,2,2.8344316436250003,2.3156505986500004
ClassGen,100_100,home,16,pb,2,2.725860871583334,2.1060620504166665
ClassGen,100_100,home,17,pb,2,2.999604549008333,2.0921660040583334
ClassGen,100_100,home,18,pb,2,3.0094254623833336,2.7843218711916666
ClassGen,100_100,home,19,pb,2,2.7464645786333333,1.5709324018500002
ClassGen,100_100,home,20,pb,2,2.619504440275,2.271074807858333
ClassGen,100_100,home,21,pb,2,3.6536070811666668,3.0268649290500007
ClassGen,100_100,home,22,pb,2,3.790299419991667,2.7971259030750004
ClassGen,100_100,home,23,pb,2,3.5935804268166667,2.6752254877499997
ClassGen,100_100,home,24,pb,2,3.785980519858333,3.105850427875
ClassGen,100_100,home,25,pb,2,4.565107288699999,3.39321148935
ClassGen,100_100,home,26,pb,2,4.522926384266667,4.333302535516666
ClassGen,100_100,home,27,pb,2,5.15309270175,3.757701014275
ClassGen,100_100,home,28,pb,2,4.220976204725,3.5012946594916676
ClassGen,100_100,home,29,pb,2,5.016686474275,4.093188801366667
ClassGen,100_100,home,30,pb,2,5.374034888574999,4.398588267791666
ClassGen,100_100,home,31,pb,2,6.346593697875001,6.187791766291666
ClassGen,100_100,home,32,pb,2,6.1505664554,5.420826150941667
