Group,Generation,cat,gvNormUnres1,gvNormUnres3,scenario,rep,trait,strategy
home,11,pb,1.45788240595,0.425583093525,10_10,0,2,ClassGen
home,12,pb,2.507284191625,1.4541385352750003,10_10,0,2,ClassGen
home,13,pb,3.2002776254,1.563398195975,10_10,0,2,ClassGen
home,14,pb,2.067566230875,0.8750424561250001,10_10,0,2,ClassGen
home,15,pb,1.87979955905,1.313804820725,10_10,0,2,ClassGen
home,16,pb,2.6000369724,1.418801192025,10_10,0,2,ClassGen
home,17,pb,3.087229846125,1.58995806165,10_10,0,2,ClassGen
home,18,pb,3.7516514389,2.332592375375,10_10,0,2,ClassGen
home,19,pb,2.4866945181,1.91223758865,10_10,0,2,ClassGen
home,20,pb,2.878779287625,1.291967045075,10_10,0,2,ClassGen
home,21,pb,2.441276065175,1.817878820125,10_10,0,2,ClassGen
home,22,pb,4.440487956475,2.7098578914,10_10,0,2,ClassGen
home,23,pb,3.217041606075,2.09023562365,10_10,0,2,ClassGen
home,24,pb,3.454286508175,2.40305370775,10_10,0,2,ClassGen
home,25,pb,5.034731715375,3.120281480425,10_10,0,2,ClassGen
home,26,pb,4.8345241824750005,3.10056948255,10_10,0,2,ClassGen
home,27,pb,4.721786545825,2.9753418245250005,10_10,0,2,ClassGen
home,28,pb,3.8640202071250007,2.8951877438249998,10_10,0,2,ClassGen
home,29,pb,4.5625731092,2.8865702633000003,10_10,0,2,ClassGen
home,30,pb,4.656619855125,3.0553000434,10_10,0,2,ClassGen
home,31,pb,4.442868514775,2.116545824975,10_10,0,2,ClassGen
home,32,pb,2.9561961906249996,0.39494627225,10_10,0,2,ClassGen
home,33,pb,5.203419044175,3.898671401275,10_10,0,2,ClassGen
home,34,pb,4.314534580749999,1.9717912563000002,10_10,0,2,ClassGen
home,35,gpb,6.1197997963285715,3.971945998957143,10_10,0,2,ClassGen
home,36,gpb,6.034090760220001,4.739202116340001,10_10,0,2,ClassGen
home,37,gpb,4.665700763983334,2.8683693802333337,10_10,0,2,ClassGen
home,38,gpb,5.5471442313,2.9889934106000005,10_10,0,2,ClassGen
home,39,gpb,5.326639668049999,3.7143834851999995,10_10,0,2,ClassGen
home,40,gpb,6.518210698983334,3.8484912398333333,10_10,0,2,ClassGen
home,41,gpb,8.063379141616666,6.620706193149999,10_10,0,2,ClassGen
home,42,gpb,8.075718314883334,5.99921757065,10_10,0,2,ClassGen
home,43,gpb,8.654067353083335,6.690104547116666,10_10,0,2,ClassGen
home,44,gpb,8.436434387750001,7.09187847405,10_10,0,2,ClassGen
home,45,gpb,9.518122686133333,7.189462406400001,10_10,0,2,ClassGen
home,46,gpb,10.488590172366667,8.374873281233333,10_10,0,2,ClassGen
home,47,gpb,9.898662244150001,8.155941621966667,10_10,0,2,ClassGen
home,48,gpb,9.624647995566667,8.026872104683333,10_10,0,2,ClassGen
import,11,pb,3.647677143050001,2.8970900325800004,10_10,0,2,ClassGen
import,12,pb,3.2268353319100003,3.09702665056,10_10,0,2,ClassGen
import,13,pb,4.04950139106,2.2078073587700002,10_10,0,2,ClassGen
