Group,Generation,cat,gvNormUnres1,gvNormUnres2,scenario,rep,trait,strategy
home,11,pb,1.45788240595,1.5151004170750002,10_10,0,2,ClassGen
home,12,pb,2.507284191625,2.227452439875,10_10,0,2,ClassGen
home,13,pb,3.2002776254,2.8174824862000003,10_10,0,2,ClassGen
home,14,pb,2.067566230875,1.15071146295,10_10,0,2,ClassGen
home,15,pb,1.87979955905,1.7893138078250002,10_10,0,2,ClassGen
home,16,pb,2.6000369724,1.962655308175,10_10,0,2,ClassGen
home,17,pb,3.087229846125,1.780762282375,10_10,0,2,ClassGen
home,18,pb,3.7516514389,3.38006725735,10_10,0,2,ClassGen
home,19,pb,2.4866945181,2.2200325929,10_10,0,2,ClassGen
home,20,pb,2.878779287625,3.1734723429,10_10,0,2,ClassGen
home,21,pb,2.441276065175,1.838755329325,10_10,0,2,ClassGen
home,22,pb,4.440487956475,3.440291180025,10_10,0,2,ClassGen
home,23,pb,3.217041606075,2.081473710125,10_10,0,2,ClassGen
home,24,pb,3.454286508175,2.6762279039749997,10_10,0,2,ClassGen
home,25,pb,5.034731715375,3.57551799425,10_10,0,2,ClassGen
home,26,pb,4.8345241824750005,5.135414257300001,10_10,0,2,ClassGen
home,27,pb,4.721786545825,3.2818507347000008,10_10,0,2,ClassGen
home,28,pb,3.8640202071250007,3.8669923502750008,10_10,0,2,ClassGen
home,29,pb,4.5625731092,3.53333999685,10_10,0,2,ClassGen
home,30,pb,4.656619855125,2.9261888253,10_10,0,2,ClassGen
home,31,pb,4.442868514775,2.94460062425,10_10,0,2,ClassGen
home,32,pb,2.9561961906249996,2.71357611935,10_10,0,2,ClassGen
home,33,pb,5.203419044175,3.5200250683250003,10_10,0,2,ClassGen
home,34,pb,4.314534580749999,3.1681093419749997,10_10,0,2,ClassGen
home,35,gpb,6.1197997963285715,5.060359955885715,10_10,0,2,ClassGen
home,36,gpb,6.034090760220001,5.244028710199999,10_10,0,2,ClassGen
home,37,gpb,4.665700763983334,3.645650045383333,10_10,0,2,ClassGen
home,38,gpb,5.5471442313,4.758661747700001,10_10,0,2,ClassGen
home,39,gpb,5.326639668049999,4.21273371925,10_10,0,2,ClassGen
home,40,gpb,6.518210698983334,5.280777594933332,10_10,0,2,ClassGen
home,41,gpb,8.063379141616666,6.839087793533333,10_10,0,2,ClassGen
home,42,gpb,8.075718314883334,7.678877590866667,10_10,0,2,ClassGen
home,43,gpb,8.654067353083335,7.771218418216667,10_10,0,2,ClassGen
home,44,gpb,8.436434387750001,8.128745510083332,10_10,0,2,ClassGen
home,45,gpb,9.518122686133333,8.889487229683333,10_10,0,2,ClassGen
home,46,gpb,10.488590172366667,9.811545937566665,10_10,0,2,ClassGen
home,47,gpb,9.898662244150001,9.744457222333333,10_10,0,2,ClassGen
home,48,gpb,9.624647995566667,8.796496068349999,10_10,0,2,ClassGen
import,11,pb,3.647677143050001,3.8710641618699997,10_10,0,2,ClassGen
import,12,pb,3.2268353319100003,3.7066155478500002,10_10,0,2,ClassGen
import,13,pb,4.04950139106,4.39701732365,10_10,0,2,ClassGen
import,14,pb,2.8865166096499997,3.63040804934,10_10,0,2,ClassGen
import,15,pb,2.9066101253500003,3.2891460769499994,10_10,0,2,ClassGen
import,16,pb,3.0578055481699997,3.77787706327,10_10,0,2,ClassGen
import,17,pb,4.0304624259,4.28279533472,10_10,0,2,ClassGen
import,18,pb,3.7737142819599994,4.39407521796,10_10,0,2,ClassGen
import,19,pb,3.97029685106,4.5851672605000005,10_10,0,2,ClassGen
import,20,pb,3.7690451906,3.945950119190001,10_10,0,2,ClassGen
import,21,pb,4.60290216348,5.22963014712,10_10,0,2,ClassGen
import,22,pb,4.60451899219,5.715564115009999,10_10,0,2,ClassGen
import,23,pb,4.6720699393,5.485277888729999,10_10,0,2,ClassGen
import,24,pb,4.94052957519,5.53609369878,10_10,0,2,ClassGen
import,25,gpb,4.421777510152941,5.162880332705884,10_10,0,2,ClassGen
import,26,gpb,4.523650144936363,4.850136298209092,10_10,0,2,ClassGen
import,27,gpb,4.560168472335294,5.264215024676471,10_10,0,2,ClassGen
import,28,gpb,5.154090796166666,5.7574174061133325,10_10,0,2,ClassGen
import,29,gpb,4.7729031556666675,5.490780538326666,10_10,0,2,ClassGen
import,30,gpb,4.560666539666667,5.657891480033332,10_10,0,2,ClassGen
import,31,gpb,6.541339984513332,7.099482850406668,10_10,0,2,ClassGen
import,32,gpb,6.786133000073335,7.405728564219999,10_10,0,2,ClassGen
import,33,gpb,6.600290183953334,7.38613048934,10_10,0,2,ClassGen
import,34,gpb,7.509049241846666,8.566126001446666,10_10,0,2,ClassGen
import,35,gpb,7.526046548206667,8.688602601186666,10_10,0,2,ClassGen
import,36,gpb,8.092181551766666,8.988663494986668,10_10,0,2,ClassGen
import,37,gpb,8.428245385819999,9.29426997202,10_10,0,2,ClassGen
import,38,gpb,8.766218528193333,10.040083115253333,10_10,0,2,ClassGen
import,39,gpb,8.513815477746666,9.77860964132,10_10,0,2,ClassGen
import,40,gpb,9.24352286210667,10.486209239599997,10_10,0,2,ClassGen
import,41,gpb,9.282085895546667,10.286172222833333,10_10,0,2,ClassGen
import,42,gpb,9.57809888966,10.837849934746668,10_10,0,2,ClassGen
import,43,gpb,10.267493484799997,11.568102258393335,10_10,0,2,ClassGen
import,44,gpb,10.518596131486667,11.840677895186667,10_10,0,2,ClassGen
import,45,gpb,10.611869693186668,11.968282161726666,10_10,0,2,ClassGen
import,46,gpb,11.007683907133332,12.420169096466669,10_10,0,2,ClassGen
import,47,gpb,11.079405732666666,12.353833602706667,10_10,0,2,ClassGen
import,48,gpb,12.006393580706666,13.457847753680001,10_10,0,2,ClassGen
home,11,pb,1.45788240595,1.5151004170750002,25_25,0,2,ClassGen
home,12,pb,2.507284191625,2.227452439875,25_25,0,2,ClassGen
home,13,pb,3.2002776254,2.8174824862000003,25_25,0,2,ClassGen
home,14,pb,2.067566230875,1.15071146295,25_25,0,2,ClassGen
home,15,pb,1.87979955905,1.7893138078250002,25_25,0,2,ClassGen
home,16,pb,2.6000369724,1.962655308175,25_25,0,2,ClassGen
home,17,pb,3.087229846125,1.780762282375,25_25,0,2,ClassGen
home,18,pb,3.7516514389,3.38006725735,25_25,0,2,ClassGen
home,19,pb,2.4866945181,2.2200325929,25_25,0,2,ClassGen
home,20,pb,2.878779287625,3.1734723429,25_25,0,2,ClassGen
home,21,pb,2.441276065175,1.838755329325,25_25,0,2,ClassGen
home,22,pb,4.440487956475,3.440291180025,25_25,0,2,ClassGen
home,23,pb,3.217041606075,2.081473710125,25_25,0,2,ClassGen
home,24,pb,3.454286508175,2.6762279039749997,25_25,0,2,ClassGen
home,25,pb,5.034731715375,3.57551799425,25_25,0,2,ClassGen
home,26,pb,4.8345241824750005,5.135414257300001,25_25,0,2,ClassGen
home,27,pb,4.721786545825,3.2818507347000008,25_25,0,2,ClassGen
home,28,pb,3.8640202071250007,3.8669923502750008,25_25,0,2,ClassGen
home,29,pb,4.5625731092,3.53333999685,25_25,0,2,ClassGen
home,30,pb,4.590720371325,3.2221652789000004,25_25,0,2,ClassGen
home,31,pb,4.1217738001,3.319407650325,25_25,0,2,ClassGen
home,32,pb,4.85864807215,3.8581853853,25_25,0,2,ClassGen
home,33,pb,5.4702118901,4.884380670525,25_25,0,2,ClassGen
home,34,pb,5.265186507375,5.1203442334,25_25,0,2,ClassGen
import,11,pb,3.647677143050001,3.8710641618699997,25_25,0,2,ClassGen
import,12,pb,3.2268353319100003,3.7066155478500002,25_25,0,2,ClassGen
import,13,pb,4.04950139106,4.39701732365,25_25,0,2,ClassGen
import,14,pb,2.8865166096499997,3.63040804934,25_25,0,2,ClassGen
import,15,pb,2.9066101253500003,3.2891460769499994,25_25,0,2,ClassGen
import,16,pb,3.0578055481699997,3.77787706327,25_25,0,2,ClassGen
import,17,pb,4.0304624259,4.28279533472,25_25,0,2,ClassGen
import,18,pb,3.7737142819599994,4.39407521796,25_25,0,2,ClassGen
import,19,pb,3.97029685106,4.5851672605000005,25_25,0,2,ClassGen
import,20,pb,3.7690451906,3.945950119190001,25_25,0,2,ClassGen
import,21,pb,4.60290216348,5.22963014712,25_25,0,2,ClassGen
import,22,pb,4.60451899219,5.715564115009999,25_25,0,2,ClassGen
import,23,pb,4.6720699393,5.485277888729999,25_25,0,2,ClassGen
