strategy,scenario,Group,Generation,cat,trait,gvNormUnres1,gvNormUnres3
ClassGen,0_100,home,35,gpb,2,7.059954640694445,5.150204081761111
ClassGen,0_100,home,35,gpb,3,5.894598733844998,5.138592728287381
ClassGen,0_100,home,36,gpb,2,6.239405344690318,4.814514590843493
ClassGen,0_100,home,36,gpb,3,6.074055800306667,5.410293773733334
ClassGen,0_100,home,37,gpb,2,6.755767884991666,5.350007555703571
ClassGen,0_100,home,37,gpb,3,5.694959720249206,5.9633157234242065
ClassGen,0_100,home,38,gpb,2,7.461794955133333,5.768715962294444
ClassGen,0_100,home,38,gpb,3,6.001088385627778,6.012953502966667
ClassGen,0_100,home,39,gpb,2,7.624789757538889,5.868187011194444
ClassGen,0_100,home,39,gpb,3,6.897978183138889,6.675074812316667
ClassGen,0_100,home,40,gpb,2,8.685579223705554,6.675963164766667
ClassGen,0_100,home,40,gpb,3,6.792024017599999,6.630723891961111
ClassGen,0_100,home,41,gpb,2,9.200285857866666,7.206212549788888
ClassGen,0_100,home,41,gpb,3,8.173651648488889,7.437474362038889
ClassGen,0_100,home,42,gpb,2,9.769964133744445,7.749062081811111
ClassGen,0_100,home,42,gpb,3,8.469330506711112,8.210852450394443
ClassGen,0_100,home,43,gpb,2,10.728571856499999,8.067401352016667
ClassGen,0_100,home,43,gpb,3,9.183900673400002,9.250943757499998
ClassGen,0_100,home,44,gpb,2,10.058447387361111,8.020378938344443
ClassGen,0_100,home,44,gpb,3,8.612806825272221,8.46289780065
ClassGen,0_100,home,45,gpb,2,11.125326417944445,8.818322781711112
ClassGen,0_100,home,45,gpb,3,8.976258361033333,8.821291578972222
ClassGen,0_100,home,46,gpb,2,11.183696860322222,9.123021791816667
ClassGen,0_100,home,46,gpb,3,9.301263787477778,9.157740979611113
ClassGen,0_100,home,47,gpb,2,11.441448684238887,9.717606853455555
ClassGen,0_100,home,47,gpb,3,10.104122779638887,9.980245638355555
ClassGen,0_100,home,48,gpb,2,12.08783153545,9.886524384361111
ClassGen,0_100,home,48,gpb,3,9.621676741616668,9.820598032694445
ClassGen,0_100,import,25,gpb,2,5.138536544573333,3.9837533893733337
ClassGen,0_100,import,25,gpb,3,4.554695310566666,5.8568210751866685
ClassGen,0_100,import,26,gpb,2,5.036296779426666,3.823232485693333
ClassGen,0_100,import,26,gpb,3,4.617481711096667,5.298839853706667
ClassGen,0_100,import,27,gpb,2,5.276327272693333,3.9631421785333334
ClassGen,0_100,import,27,gpb,3,5.005308220113334,5.771796444113334
ClassGen,0_100,import,28,gpb,2,5.546100689733334,4.313716357866668
ClassGen,0_100,import,28,gpb,3,4.87349676304,5.890874724986666
ClassGen,0_100,import,29,gpb,2,6.5035368841266665,5.39473667586
ClassGen,0_100,import,29,gpb,3,5.109370574086667,5.504312541486667
ClassGen,0_100,import,30,gpb,2,4.3676263826,3.4979613843133333
ClassGen,0_100,import,30,gpb,3,4.618725452853333,5.477764886
ClassGen,0_100,import,31,gpb,2,7.298708806413333,5.97689561568
ClassGen,0_100,import,31,gpb,3,5.845683529913333,6.732862951353333
ClassGen,0_100,import,32,gpb,2,7.181784797246667,5.9131291588599995
ClassGen,0_100,import,32,gpb,3,6.003319077553333,7.1772075656
ClassGen,0_100,import,33,gpb,2,7.685800014986666,6.108726714486667
ClassGen,0_100,import,33,gpb,3,5.834491152906668,7.425959371286666
ClassGen,0_100,import,34,gpb,2,8.008995471793334,6.435588835833333
ClassGen,0_100,import,34,gpb,3,6.41768354538,7.7748743028466665
ClassGen,0_100,import,35,gpb,2,8.387890124820741,6.721828175941481
ClassGen,0_100,import,35,gpb,3,6.205999235642593,7.606213766977778
ClassGen,0_100,import,36,gpb,2,8.857864533853354,7.271506933341018
ClassGen,0_100,import,36,gpb,3,7.120111873258888,8.352527964845557
ClassGen,0_100,import,37,gpb,2,9.600861378756298,7.982490429847776
ClassGen,0_100,import,37,gpb,3,6.950174771803198,8.504424546349831
ClassGen,0_100,import,38,gpb,2,9.11960535266852,7.5345761676620375
ClassGen,0_100,import,38,gpb,3,6.815755471705001,8.289970061992499
ClassGen,0_100,import,39,gpb,2,10.256227347216667,8.883698002427778
ClassGen,0_100,import,39,gpb,3,7.314011811211112,8.680790963411111
ClassGen,0_100,import,40,gpb,2,10.215025152144444,8.71186856675
ClassGen,0_100,import,40,gpb,3,7.5171877879111095,8.87712246643889
ClassGen,0_100,import,41,gpb,2,10.477979748155555,8.57513075836111
ClassGen,0_100,import,41,gpb,3,7.364906603355556,8.881334468633334
