Group,Generation,cat,gvNormUnres1,gvNormUnres3,scenario,rep,trait,strategy
home,35,gpb,4.383417472600001,3.167294564925,10_10,0,3,ClassGen
home,36,gpb,4.50675586015,2.332314171083333,10_10,0,3,ClassGen
home,37,gpb,4.701121891250001,3.3372280384875004,10_10,0,3,ClassGen
home,38,gpb,4.9886650855,4.241773106116667,10_10,0,3,ClassGen
home,39,gpb,5.552973570166667,4.677315411716667,10_10,0,3,ClassGen
home,40,gpb,6.0843751956,4.580487052383334,10_10,0,3,ClassGen
home,41,gpb,6.8761256863,5.7778733052,10_10,0,3,ClassGen
home,42,gpb,6.58505248455,6.413663292216666,10_10,0,3,ClassGen
home,43,gpb,7.998618717149999,7.074354592333333,10_10,0,3,ClassGen
home,44,gpb,7.873807223933333,6.698702176033334,10_10,0,3,ClassGen
home,45,gpb,8.976276225216667,7.2628639109833335,10_10,0,3,ClassGen
home,46,gpb,9.049855303183334,7.785110876416668,10_10,0,3,ClassGen
home,47,gpb,8.612028889716667,7.808479034433333,10_10,0,3,ClassGen
home,48,gpb,9.994775535450001,9.595986125883334,10_10,0,3,ClassGen
import,25,gpb,4.24944091252,5.70386329878,10_10,0,3,ClassGen
import,26,gpb,4.0155309074000005,5.1145617588,10_10,0,3,ClassGen
import,27,gpb,3.95504363184,5.16188692488,10_10,0,3,ClassGen
import,28,gpb,3.9977249586199997,5.672963742159999,10_10,0,3,ClassGen
import,29,gpb,3.90178688828,4.964165292020001,10_10,0,3,ClassGen
import,30,gpb,3.5612782745200007,5.191921972259999,10_10,0,3,ClassGen
import,31,gpb,6.57096746868,7.828992604979999,10_10,0,3,ClassGen
import,32,gpb,5.5693744595600005,7.342479730940001,10_10,0,3,ClassGen
import,33,gpb,6.5587262297999995,8.836690030220002,10_10,0,3,ClassGen
import,34,gpb,6.760899888260001,8.43990565762,10_10,0,3,ClassGen
import,35,gpb,6.8914931731200015,9.015180342189998,10_10,0,3,ClassGen
import,36,gpb,7.5310437236875,9.612382769037502,10_10,0,3,ClassGen
import,37,gpb,8.122069599488889,10.084716116855555,10_10,0,3,ClassGen
import,38,gpb,7.745849532129999,9.699298085970002,10_10,0,3,ClassGen
import,39,gpb,8.28635781585,10.734684989000002,10_10,0,3,ClassGen
import,40,gpb,7.53941555175,10.047161537633334,10_10,0,3,ClassGen
import,41,gpb,8.169697700366667,10.401026173683332,10_10,0,3,ClassGen
import,42,gpb,8.189202339866666,11.487250729116667,10_10,0,3,ClassGen
import,43,gpb,9.055486144066668,11.63230037425,10_10,0,3,ClassGen
import,44,gpb,9.149922068,12.469521846166666,10_10,0,3,ClassGen
import,45,gpb,9.380064186833335,12.642422197466667,10_10,0,3,ClassGen
import,46,gpb,9.784733468816667,12.619302754033333,10_10,0,3,ClassGen
import,47,gpb,10.06417612075,13.554071831416666,10_10,0,3,ClassGen
import,48,gpb,10.253887211550001,13.656543473666666,10_10,0,3,ClassGen
import,25,gpb,4.0274551483800005,5.51079814736,25_25,0,3,ClassGen
import,26,gpb,4.3352378706,5.63766785448,25_25,0,3,ClassGen
import,27,gpb,3.74568291572,5.121582119539999,25_25,0,3,ClassGen
import,28,gpb,4.033244655119999,5.9626570053400005,25_25,0,3,ClassGen
import,29,gpb,4.33091047266,5.66879426316,25_25,0,3,ClassGen
import,30,gpb,4.19781963536,6.531258961259999,25_25,0,3,ClassGen
import,31,gpb,5.927842871959999,7.88212657054,25_25,0,3,ClassGen
import,32,gpb,5.995108812680001,7.78645097462,25_25,0,3,ClassGen
import,33,gpb,5.806405113319999,7.84705591246,25_25,0,3,ClassGen
import,34,gpb,6.481698329139999,9.406163718119998,25_25,0,3,ClassGen
import,35,gpb,7.01143406076,9.12341145114,25_25,0,3,ClassGen
import,36,gpb,6.23627466186,8.66092680364,25_25,0,3,ClassGen
import,37,gpb,6.829780612299999,9.12420587484,25_25,0,3,ClassGen
import,38,gpb,6.4586625580999995,9.08567322306,25_25,0,3,ClassGen
home,35,gpb,5.2282574654,4.69906569396,50_50,0,3,ClassGen
home,36,gpb,5.8237478822,4.94138543726,50_50,0,3,ClassGen
home,37,gpb,4.7992352012625,5.272918650787499,50_50,0,3,ClassGen
home,38,gpb,5.550784998516668,5.799359014833333,50_50,0,3,ClassGen
home,39,gpb,6.03157081575,5.404899743900001,50_50,0,3,ClassGen
home,40,gpb,6.828829935533334,7.297900027849999,50_50,0,3,ClassGen
home,41,gpb,9.112418338333333,9.594633705916667,50_50,0,3,ClassGen
home,42,gpb,8.1816610147,9.248705173566668,50_50,0,3,ClassGen
home,43,gpb,9.225486217316666,9.926694376299999,50_50,0,3,ClassGen
home,44,gpb,8.847885028266667,9.579372984733334,50_50,0,3,ClassGen
home,45,gpb,9.794034870433332,10.8999434524,50_50,0,3,ClassGen
home,46,gpb,10.403601510733333,10.944168885183332,50_50,0,3,ClassGen
home,47,gpb,10.480064782516665,12.401667562950001,50_50,0,3,ClassGen
home,48,gpb,10.7710155368,11.525936508866666,50_50,0,3,ClassGen
import,25,gpb,4.1013547634,5.89899468508,50_50,0,3,ClassGen
import,26,gpb,4.355906920840001,5.58210026988,50_50,0,3,ClassGen
import,27,gpb,3.4754469121600002,4.871723004400001,50_50,0,3,ClassGen
import,28,gpb,4.25326747208,6.044162855680001,50_50,0,3,ClassGen
import,29,gpb,5.1540786256799995,5.448131611040001,50_50,0,3,ClassGen
import,30,gpb,4.10271366568,5.805641169439999,50_50,0,3,ClassGen
import,31,gpb,5.482248071319999,7.44259611854,50_50,0,3,ClassGen
import,32,gpb,5.877712428080001,7.667176540039999,50_50,0,3,ClassGen
import,33,gpb,6.75954148064,8.6446973992,50_50,0,3,ClassGen
import,34,gpb,6.27134806498,8.695958382579999,50_50,0,3,ClassGen
import,35,gpb,6.7673088279249995,9.1901999095125,50_50,0,3,ClassGen
import,36,gpb,6.5678717211,9.152460180580002,50_50,0,3,ClassGen
import,37,gpb,8.271039951850002,10.339153249012499,50_50,0,3,ClassGen
import,38,gpb,7.378077351050001,10.143476691750001,50_50,0,3,ClassGen
import,39,gpb,8.958858587233335,11.542431186083334,50_50,0,3,ClassGen
import,40,gpb,8.054674627933334,10.852810633983333,50_50,0,3,ClassGen
import,41,gpb,8.713942559166666,11.537448800716668,50_50,0,3,ClassGen
import,42,gpb,8.644357968816665,11.940759019283334,50_50,0,3,ClassGen
import,43,gpb,9.130645831649998,12.314740044799999,50_50,0,3,ClassGen
import,44,gpb,9.228473742883333,13.231047307033334,50_50,0,3,ClassGen
import,45,gpb,9.913687848033334,13.219240618383333,50_50,0,3,ClassGen
import,46,gpb,9.704366715883333,13.711219529266666,50_50,0,3,ClassGen
import,47,gpb,9.958342657483334,13.571460539983335,50_50,0,3,ClassGen
import,48,gpb,10.728539437683333,14.661153663866665,50_50,0,3,ClassGen
home,35,gpb,7.572223549733333,7.647049600433334,100_100,0,3,ClassGen
home,36,gpb,5.315641873042857,6.002030631014287,100_100,0,3,ClassGen
home,37,gpb,6.025390729725,5.916130927287501,100_100,0,3,ClassGen
home,38,gpb,7.092389166933334,7.472607403783333,100_100,0,3,ClassGen
import,25,gpb,4.04086614468,5.70348650766,100_100,0,3,ClassGen
import,26,gpb,4.12806990204,5.6728158534799995,100_100,0,3,ClassGen
import,27,gpb,4.031303461439999,5.01481699634,100_100,0,3,ClassGen
import,28,gpb,3.78038969228,5.65988402462,100_100,0,3,ClassGen
import,29,gpb,3.9146487942,5.497239906220001,100_100,0,3,ClassGen
import,30,gpb,3.5776381260999996,4.508792634680001,100_100,0,3,ClassGen
import,31,gpb,6.2541316955,8.35483415814,100_100,0,3,ClassGen
import,32,gpb,6.472708781500001,7.824031368359999,100_100,0,3,ClassGen
import,33,gpb,6.128667051800001,7.47290639852,100_100,0,3,ClassGen
import,34,gpb,6.064233479019999,8.075219006020001,100_100,0,3,ClassGen
import,35,gpb,6.59768325731111,9.22725812758889,100_100,0,3,ClassGen
import,36,gpb,6.912706231425,9.0463352463875,100_100,0,3,ClassGen
import,37,gpb,6.9619904892374995,9.612879396350001,100_100,0,3,ClassGen
import,38,gpb,6.834344746810001,9.87773785199,100_100,0,3,ClassGen
import,39,gpb,7.547363334666667,9.939291422066667,100_100,0,3,ClassGen
import,40,gpb,8.143433785383332,10.935880606349999,100_100,0,3,ClassGen
import,41,gpb,8.1276043864,11.029404393983333,100_100,0,3,ClassGen
import,42,gpb,8.104486987183334,11.34290281165,100_100,0,3,ClassGen
