Generation N Sum home import Population Rep Import Scenario Cor
30 8640 2.68257593317323 2.68257593317323 0 home 0 0_100 ClassGen 0.9
31 8640 3.00318225000175 3.00318225000175 0 home 0 0_100 ClassGen 0.9
32 8640 3.3435046269053 3.33829408085998 0.00521054604532407 home 0 0_100 ClassGen 0.9
33 8640 3.49228279145935 3.47968223277863 0.0126005586807234 home 0 0_100 ClassGen 0.9
34 8640 3.61323881238361 3.56369067398533 0.0495481383982841 home 0 0_100 ClassGen 0.9
35 8640 3.94309907327823 3.83498649963624 0.108112573641994 home 0 0_100 ClassGen 0.9
36 8640 4.09870586256977 3.82136832142451 0.277337541145263 home 0 0_100 ClassGen 0.9
37 8640 4.21923686669733 3.8630368030625 0.356200063634822 home 0 0_100 ClassGen 0.9
38 8640 4.36739884241856 3.89075619439155 0.47664264802702 home 0 0_100 ClassGen 0.9
39 8640 4.72090980673524 4.11630877984138 0.604601026893861 home 0 0_100 ClassGen 0.9
40 8640 5.04797561604535 4.19424605640429 0.853729559641058 home 0 0_100 ClassGen 0.9
41 8640 5.4439696447666 3.40089828464046 2.04307136012614 home 0 0_100 ClassGen 0.9
42 8640 5.59244983497984 3.31234617561842 2.28010365936142 home 0 0_100 ClassGen 0.9
43 8640 6.04473054801049 3.45843281830189 2.58629772970859 home 0 0_100 ClassGen 0.9
44 8640 6.51505375520831 3.50138644534263 3.01366730986568 home 0 0_100 ClassGen 0.9
45 8640 6.91667215089914 3.45279805655089 3.46387409434826 home 0 0_100 ClassGen 0.9
46 8640 7.25244373141101 3.40975127499574 3.84269245641527 home 0 0_100 ClassGen 0.9
47 8640 7.69462497441535 3.4137981804661 4.28082679394924 home 0 0_100 ClassGen 0.9
48 8640 8.14857137684861 3.44099617121824 4.70757520563038 home 0 0_100 ClassGen 0.9
49 8640 8.54363830264148 3.41538977886114 5.12824852378034 home 0 0_100 ClassGen 0.9
50 8640 8.94562298673197 3.39087291655922 5.55475007017275 home 0 0_100 ClassGen 0.9
30 8640 4.23067412600863 0 4.23067412600863 import 0 0_100 ClassGen 0.9
31 8640 4.42192430799626 0 4.42192430799626 import 0 0_100 ClassGen 0.9
32 8640 4.64820552627742 0 4.64820552627742 import 0 0_100 ClassGen 0.9
33 8640 4.94808561819393 0 4.94808561819393 import 0 0_100 ClassGen 0.9
34 8640 5.24126523334395 0 5.24126523334395 import 0 0_100 ClassGen 0.9
35 8640 5.52728400678566 0 5.52728400678566 import 0 0_100 ClassGen 0.9
36 8640 5.90087428279154 0 5.90087428279154 import 0 0_100 ClassGen 0.9
37 8640 6.29962372977691 0 6.29962372977691 import 0 0_100 ClassGen 0.9
38 8640 6.66838742735253 0 6.66838742735253 import 0 0_100 ClassGen 0.9
39 8640 7.01475226254064 0 7.01475226254064 import 0 0_100 ClassGen 0.9
40 8640 7.34745825115936 0 7.34745825115936 import 0 0_100 ClassGen 0.9
