Generation N Sum home import Population Rep Import Scenario Cor
30 8640 1 1 0 home 0 0_100 ClassGen 0.9
31 8640 1 1 0 home 0 0_100 ClassGen 0.9
32 8640 1 0.998900462962963 0.00109953703703704 home 0 0_100 ClassGen 0.9
33 8640 1 0.997916666666667 0.00208333333333333 home 0 0_100 ClassGen 0.9
34 8640 1 0.989496527777778 0.0105034722222222 home 0 0_100 ClassGen 0.9
35 8640 1 0.982986111111111 0.0170138888888889 home 0 0_100 ClassGen 0.9
36 8640 1 0.954398148148148 0.0456018518518519 home 0 0_100 ClassGen 0.9
37 8640 1 0.949638310185185 0.0503616898148148 home 0 0_100 ClassGen 0.9
38 8640 1 0.927850115740741 0.0721498842592593 home 0 0_100 ClassGen 0.9
39 8640 1 0.91953125 0.08046875 home 0 0_100 ClassGen 0.9
40 8640 1 0.88587962962963 0.11412037037037 home 0 0_100 ClassGen 0.9
41 8640 1 0.734584780092593 0.265415219907407 home 0 0_100 ClassGen 0.9
42 8640 1 0.711885127314815 0.288114872685185 home 0 0_100 ClassGen 0.9
43 8640 1 0.691453269675926 0.308546730324074 home 0 0_100 ClassGen 0.9
44 8640 1 0.649616608796296 0.350383391203704 home 0 0_100 ClassGen 0.9
45 8640 1 0.60826099537037 0.39173900462963 home 0 0_100 ClassGen 0.9
46 8640 1 0.57274486400463 0.42725513599537 home 0 0_100 ClassGen 0.9
47 8640 1 0.534487123842593 0.465512876157407 home 0 0_100 ClassGen 0.9
48 8640 1 0.506969762731482 0.493030237268519 home 0 0_100 ClassGen 0.9
49 8640 1 0.482086407696759 0.517913592303241 home 0 0_100 ClassGen 0.9
50 8640 1 0.451954029224537 0.548045970775463 home 0 0_100 ClassGen 0.9
30 8640 1 0 1 import 0 0_100 ClassGen 0.9
31 8640 1 0 1 import 0 0_100 ClassGen 0.9
32 8640 1 0 1 import 0 0_100 ClassGen 0.9
33 8640 1 0 1 import 0 0_100 ClassGen 0.9
34 8640 1 0 1 import 0 0_100 ClassGen 0.9
35 8640 1 0 1 import 0 0_100 ClassGen 0.9
36 8640 1 0 1 import 0 0_100 ClassGen 0.9
37 8640 1 0 1 import 0 0_100 ClassGen 0.9
38 8640 1 0 1 import 0 0_100 ClassGen 0.9
39 8640 1 0 1 import 0 0_100 ClassGen 0.9
40 8640 1 0 1 import 0 0_100 ClassGen 0.9
41 8640 1 0 1 import 0 0_100 ClassGen 0.9
42 8640 1 0 1 import 0 0_100 ClassGen 0.9
43 8640 1 0 1 import 0 0_100 ClassGen 0.9
44 8640 1 0 1 import 0 0_100 ClassGen 0.9
45 8640 1 0 1 import 0 0_100 ClassGen 0.9
46 8640 1 0 1 import 0 0_100 ClassGen 0.9
47 8640 1 0 1 import 0 0_100 ClassGen 0.9
48 8640 1 0 1 import 0 0_100 ClassGen 0.9
49 8640 1 0 1 import 0 0_100 ClassGen 0.9
50 8640 1 0 1 import 0 0_100 ClassGen 0.9
30 8640 1 1 0 home 0 100_100 ClassGen 0.9
31 8640 1 1 0 home 0 100_100 ClassGen 0.9
32 8640 1 0.921006944444444 0.0789930555555556 home 0 100_100 ClassGen 0.9
33 8640 1 0.844155092592593 0.155844907407407 home 0 100_100 ClassGen 0.9
34 8640 1 0.756539351851852 0.243460648148148 home 0 100_100 ClassGen 0.9
35 8640 1 0.66328125 0.33671875 home 0 100_100 ClassGen 0.9
36 8640 1 0.545428240740741 0.454571759259259 home 0 100_100 ClassGen 0.9
37 8640 1 0.511371527777778 0.488628472222222 home 0 100_100 ClassGen 0.9
38 8640 1 0.444806134259259 0.555193865740741 home 0 100_100 ClassGen 0.9
39 8640 1 0.391044560185185 0.608955439814815 home 0 100_100 ClassGen 0.9
40 8640 1 0.343200231481481 0.656799768518519 home 0 100_100 ClassGen 0.9
41 8640 1 0.270949074074074 0.729050925925926 home 0 100_100 ClassGen 0.9
42 8640 1 0.237340856481481 0.762659143518518 home 0 100_100 ClassGen 0.9
43 8640 1 0.207237413194444 0.792762586805556 home 0 100_100 ClassGen 0.9
44 8640 1 0.17640697337963 0.82359302662037 home 0 100_100 ClassGen 0.9
45 8640 1 0.149442997685185 0.850557002314815 home 0 100_100 ClassGen 0.9
46 8640 1 0.128161168981481 0.871838831018519 home 0 100_100 ClassGen 0.9
47 8640 1 0.108657045717593 0.891342954282407 home 0 100_100 ClassGen 0.9
48 8640 1 0.0933467158564815 0.906653284143519 home 0 100_100 ClassGen 0.9
49 8640 1 0.0797833478009259 0.920216652199074 home 0 100_100 ClassGen 0.9
50 8640 1 0.0670238353587963 0.932976164641204 home 0 100_100 ClassGen 0.9
30 8640 1 0 1 import 0 100_100 ClassGen 0.9
31 8640 1 0 1 import 0 100_100 ClassGen 0.9
32 8640 1 0 1 import 0 100_100 ClassGen 0.9
33 8640 1 0 1 import 0 100_100 ClassGen 0.9
34 8640 1 0 1 import 0 100_100 ClassGen 0.9
35 8640 1 0 1 import 0 100_100 ClassGen 0.9
36 8640 1 0 1 import 0 100_100 ClassGen 0.9
37 8640 1 0 1 import 0 100_100 ClassGen 0.9
38 8640 1 0 1 import 0 100_100 ClassGen 0.9
39 8640 1 0 1 import 0 100_100 ClassGen 0.9
40 8640 1 0 1 import 0 100_100 ClassGen 0.9
41 8640 1 0 1 import 0 100_100 ClassGen 0.9
42 8640 1 0 1 import 0 100_100 ClassGen 0.9
43 8640 1 0 1 import 0 100_100 ClassGen 0.9
44 8640 1 0 1 import 0 100_100 ClassGen 0.9
45 8640 1 0 1 import 0 100_100 ClassGen 0.9
46 8640 1 0 1 import 0 100_100 ClassGen 0.9
47 8640 1 0 1 import 0 100_100 ClassGen 0.9
48 8640 1 0 1 import 0 100_100 ClassGen 0.9
49 8640 1 0 1 import 0 100_100 ClassGen 0.9
50 8640 1 0 1 import 0 100_100 ClassGen 0.9
30 8640 1 1 0 home 0 50_50 ClassGen 0.9
31 8640 1 1 0 home 0 50_50 ClassGen 0.9
32 8640 1 0.9484375 0.0515625 home 0 50_50 ClassGen 0.9
33 8640 1 0.897511574074074 0.102488425925926 home 0 50_50 ClassGen 0.9
34 8640 1 0.847337962962963 0.152662037037037 home 0 50_50 ClassGen 0.9
35 8640 1 0.792071759259259 0.207928240740741 home 0 50_50 ClassGen 0.9
36 8640 1 0.727112268518519 0.272887731481481 home 0 50_50 ClassGen 0.9
37 8640 1 0.717447916666667 0.282552083333333 home 0 50_50 ClassGen 0.9
38 8640 1 0.691102430555556 0.308897569444444 home 0 50_50 ClassGen 0.9
39 8640 1 0.657306134259259 0.342693865740741 home 0 50_50 ClassGen 0.9
40 8640 1 0.640451388888889 0.359548611111111 home 0 50_50 ClassGen 0.9
41 8640 1 0.542867476851852 0.457132523148148 home 0 50_50 ClassGen 0.9
42 8640 1 0.496853298611111 0.503146701388889 home 0 50_50 ClassGen 0.9
43 8640 1 0.454456018518519 0.545543981481482 home 0 50_50 ClassGen 0.9
44 8640 1 0.416905381944444 0.583094618055556 home 0 50_50 ClassGen 0.9
45 8640 1 0.375788483796296 0.624211516203704 home 0 50_50 ClassGen 0.9
46 8640 1 0.330852141203704 0.669147858796296 home 0 50_50 ClassGen 0.9
47 8640 1 0.293891059027778 0.706108940972222 home 0 50_50 ClassGen 0.9
48 8640 1 0.268726490162037 0.731273509837963 home 0 50_50 ClassGen 0.9
49 8640 1 0.240263310185185 0.759736689814815 home 0 50_50 ClassGen 0.9
50 8640 1 0.215413411458333 0.784586588541667 home 0 50_50 ClassGen 0.9
30 8640 1 0 1 import 0 50_50 ClassGen 0.9
31 8640 1 0 1 import 0 50_50 ClassGen 0.9
32 8640 1 0 1 import 0 50_50 ClassGen 0.9
33 8640 1 0 1 import 0 50_50 ClassGen 0.9
34 8640 1 0 1 import 0 50_50 ClassGen 0.9
35 8640 1 0 1 import 0 50_50 ClassGen 0.9
36 8640 1 0 1 import 0 50_50 ClassGen 0.9
37 8640 1 0 1 import 0 50_50 ClassGen 0.9
38 8640 1 0 1 import 0 50_50 ClassGen 0.9
39 8640 1 0 1 import 0 50_50 ClassGen 0.9
40 8640 1 0 1 import 0 50_50 ClassGen 0.9
41 8640 1 0 1 import 0 50_50 ClassGen 0.9
42 8640 1 0 1 import 0 50_50 ClassGen 0.9
43 8640 1 0 1 import 0 50_50 ClassGen 0.9
44 8640 1 0 1 import 0 50_50 ClassGen 0.9
45 8640 1 0 1 import 0 50_50 ClassGen 0.9
46 8640 1 0 1 import 0 50_50 ClassGen 0.9
47 8640 1 0 1 import 0 50_50 ClassGen 0.9
48 8640 1 0 1 import 0 50_50 ClassGen 0.9
49 8640 1 0 1 import 0 50_50 ClassGen 0.9
50 8640 1 0 1 import 0 50_50 ClassGen 0.9
30 8640 1 1 0 home 0 25_25 ClassGen 0.9
31 8640 1 1 0 home 0 25_25 ClassGen 0.9
32 8640 1 0.977893518518518 0.0221064814814815 home 0 25_25 ClassGen 0.9
33 8640 1 0.952256944444444 0.0477430555555556 home 0 25_25 ClassGen 0.9
34 8640 1 0.926475694444444 0.0735243055555556 home 0 25_25 ClassGen 0.9
35 8640 1 0.897887731481481 0.102112268518519 home 0 25_25 ClassGen 0.9
36 8640 1 0.867158564814815 0.132841435185185 home 0 25_25 ClassGen 0.9
37 8640 1 0.862037037037037 0.137962962962963 home 0 25_25 ClassGen 0.9
38 8640 1 0.853443287037037 0.146556712962963 home 0 25_25 ClassGen 0.9
39 8640 1 0.837225115740741 0.162774884259259 home 0 25_25 ClassGen 0.9
40 8640 1 0.815653935185185 0.184346064814815 home 0 25_25 ClassGen 0.9
30 8640 1 0 1 import 0 25_25 ClassGen 0.9
31 8640 1 0 1 import 0 25_25 ClassGen 0.9
32 8640 1 0 1 import 0 25_25 ClassGen 0.9
33 8640 1 0 1 import 0 25_25 ClassGen 0.9
34 8640 1 0 1 import 0 25_25 ClassGen 0.9
35 8640 1 0 1 import 0 25_25 ClassGen 0.9
36 8640 1 0 1 import 0 25_25 ClassGen 0.9
37 8640 1 0 1 import 0 25_25 ClassGen 0.9
38 8640 1 0 1 import 0 25_25 ClassGen 0.9
39 8640 1 0 1 import 0 25_25 ClassGen 0.9
40 8640 1 0 1 import 0 25_25 ClassGen 0.9
30 8640 1 1 0 home 0 10_10 ClassGen 0.9
31 8640 1 1 0 home 0 10_10 ClassGen 0.9
32 8640 1 0.988715277777778 0.0112847222222222 home 0 10_10 ClassGen 0.9
33 8640 1 0.980613425925926 0.0193865740740741 home 0 10_10 ClassGen 0.9
34 8640 1 0.971875 0.028125 home 0 10_10 ClassGen 0.9
35 8640 1 0.957349537037037 0.042650462962963 home 0 10_10 ClassGen 0.9
36 8640 1 0.946354166666667 0.0536458333333333 home 0 10_10 ClassGen 0.9
37 8640 1 0.945891203703704 0.0541087962962963 home 0 10_10 ClassGen 0.9
38 8640 1 0.94615162037037 0.0538483796296296 home 0 10_10 ClassGen 0.9
39 8640 1 0.936892361111111 0.0631076388888889 home 0 10_10 ClassGen 0.9
40 8640 1 0.93482349537037 0.0651765046296296 home 0 10_10 ClassGen 0.9
41 8640 1 0.924978298611111 0.0750217013888889 home 0 10_10 ClassGen 0.9
42 8640 1 0.91861255787037 0.0813874421296296 home 0 10_10 ClassGen 0.9
43 8640 1 0.887087673611111 0.112912326388889 home 0 10_10 ClassGen 0.9
44 8640 1 0.858195891203704 0.141804108796296 home 0 10_10 ClassGen 0.9
45 8640 1 0.843706597222222 0.156293402777778 home 0 10_10 ClassGen 0.9
