,V1,Group,Rep,scenario,strategy,trait
1,7314,home,0,0_0,GenGen,12
2,7274,home,0,0_0,GenGen,12
3,7234,home,0,0_0,GenGen,12
4,7191,home,0,0_0,GenGen,12
5,7127,home,0,0_0,GenGen,12
6,7097,home,0,0_0,GenGen,12
7,7069,home,0,0_0,GenGen,12
8,6987,home,0,0_0,GenGen,12
9,6956,home,0,0_0,GenGen,12
10,6897,home,0,0_0,GenGen,12
11,6891,home,0,0_0,GenGen,12
12,6822,home,0,0_0,GenGen,12
13,6769,home,0,0_0,GenGen,12
14,6741,home,0,0_0,GenGen,12
15,6741,home,0,0_0,GenGen,12
16,6682,home,0,0_0,GenGen,12
17,6606,home,0,0_0,GenGen,12
18,8386,home,0,0_0,GenGen,12
19,9502,home,0,0_0,GenGen,12
20,10193,home,0,0_0,GenGen,12
21,10709,home,0,0_0,GenGen,12
22,14413,import,0,0_0,GenGen,12
23,14029,import,0,0_0,GenGen,12
24,13598,import,0,0_0,GenGen,12
25,13136,import,0,0_0,GenGen,12
26,12753,import,0,0_0,GenGen,12
27,12331,import,0,0_0,GenGen,12
28,11954,import,0,0_0,GenGen,12
29,11606,import,0,0_0,GenGen,12
30,11217,import,0,0_0,GenGen,12
31,10770,import,0,0_0,GenGen,12
32,10368,import,0,0_0,GenGen,12
33,9961,import,0,0_0,GenGen,12
34,9597,import,0,0_0,GenGen,12
35,9212,import,0,0_0,GenGen,12
36,8808,import,0,0_0,GenGen,12
37,8404,import,0,0_0,GenGen,12
38,7948,import,0,0_0,GenGen,12
39,9558,import,0,0_0,GenGen,12
40,10123,import,0,0_0,GenGen,12
41,10181,import,0,0_0,GenGen,12
42,10067,import,0,0_0,GenGen,12
43,7370,home,0,0_0,GenGen,13
44,7309,home,0,0_0,GenGen,13
45,7249,home,0,0_0,GenGen,13
46,7232,home,0,0_0,GenGen,13
47,7141,home,0,0_0,GenGen,13
48,7129,home,0,0_0,GenGen,13
49,7054,home,0,0_0,GenGen,13
50,7039,home,0,0_0,GenGen,13
51,7015,home,0,0_0,GenGen,13
52,6943,home,0,0_0,GenGen,13
53,6869,home,0,0_0,GenGen,13
54,6810,home,0,0_0,GenGen,13
55,6778,home,0,0_0,GenGen,13
56,6734,home,0,0_0,GenGen,13
57,6700,home,0,0_0,GenGen,13
58,6712,home,0,0_0,GenGen,13
59,6652,home,0,0_0,GenGen,13
60,8421,home,0,0_0,GenGen,13
61,9523,home,0,0_0,GenGen,13
62,10224,home,0,0_0,GenGen,13
63,10709,home,0,0_0,GenGen,13
64,14414,import,0,0_0,GenGen,13
65,13994,import,0,0_0,GenGen,13
66,13644,import,0,0_0,GenGen,13
67,13217,import,0,0_0,GenGen,13
68,12762,import,0,0_0,GenGen,13
69,12379,import,0,0_0,GenGen,13
70,11984,import,0,0_0,GenGen,13
71,11592,import,0,0_0,GenGen,13
72,11203,import,0,0_0,GenGen,13
73,10807,import,0,0_0,GenGen,13
74,10413,import,0,0_0,GenGen,13
75,10027,import,0,0_0,GenGen,13
76,9579,import,0,0_0,GenGen,13
77,9219,import,0,0_0,GenGen,13
78,8867,import,0,0_0,GenGen,13
79,8469,import,0,0_0,GenGen,13
80,8122,import,0,0_0,GenGen,13
81,9632,import,0,0_0,GenGen,13
82,10168,import,0,0_0,GenGen,13
83,10184,import,0,0_0,GenGen,13
84,10067,import,0,0_0,GenGen,13
85,7300,home,0,100_100,GenGen,12
86,7268,home,0,100_100,GenGen,12
87,7233,home,0,100_100,GenGen,12
88,7164,home,0,100_100,GenGen,12
89,7167,home,0,100_100,GenGen,12
90,7112,home,0,100_100,GenGen,12
91,7095,home,0,100_100,GenGen,12
92,7008,home,0,100_100,GenGen,12
93,6978,home,0,100_100,GenGen,12
94,6920,home,0,100_100,GenGen,12
95,6856,home,0,100_100,GenGen,12
96,6823,home,0,100_100,GenGen,12
97,6786,home,0,100_100,GenGen,12
98,6682,home,0,100_100,GenGen,12
99,6699,home,0,100_100,GenGen,12
100,6682,home,0,100_100,GenGen,12
101,6657,home,0,100_100,GenGen,12
102,8442,home,0,100_100,GenGen,12
103,9570,home,0,100_100,GenGen,12
104,10269,home,0,100_100,GenGen,12
105,10709,home,0,100_100,GenGen,12
106,14388,import,0,100_100,GenGen,12
107,14017,import,0,100_100,GenGen,12
108,13680,import,0,100_100,GenGen,12
109,13193,import,0,100_100,GenGen,12
110,12780,import,0,100_100,GenGen,12
111,12407,import,0,100_100,GenGen,12
112,11990,import,0,100_100,GenGen,12
113,11529,import,0,100_100,GenGen,12
114,11164,import,0,100_100,GenGen,12
115,10763,import,0,100_100,GenGen,12
116,10394,import,0,100_100,GenGen,12
117,10022,import,0,100_100,GenGen,12
118,9618,import,0,100_100,GenGen,12
119,9172,import,0,100_100,GenGen,12
120,8824,import,0,100_100,GenGen,12
121,8451,import,0,100_100,GenGen,12
122,8039,import,0,100_100,GenGen,12
123,9578,import,0,100_100,GenGen,12
124,10115,import,0,100_100,GenGen,12
125,10176,import,0,100_100,GenGen,12
126,10067,import,0,100_100,GenGen,12
127,7319,home,0,100_100,GenGen,13
128,7298,home,0,100_100,GenGen,13
129,7248,home,0,100_100,GenGen,13
130,7241,home,0,100_100,GenGen,13
131,7157,home,0,100_100,GenGen,13
132,7146,home,0,100_100,GenGen,13
133,7100,home,0,100_100,GenGen,13
134,7037,home,0,100_100,GenGen,13
135,6970,home,0,100_100,GenGen,13
136,6897,home,0,100_100,GenGen,13
137,6824,home,0,100_100,GenGen,13
138,6817,home,0,100_100,GenGen,13
139,6815,home,0,100_100,GenGen,13
140,6829,home,0,100_100,GenGen,13
141,6772,home,0,100_100,GenGen,13
142,6731,home,0,100_100,GenGen,13
143,6627,home,0,100_100,GenGen,13
144,8413,home,0,100_100,GenGen,13
145,9514,home,0,100_100,GenGen,13
146,10185,home,0,100_100,GenGen,13
147,10709,home,0,100_100,GenGen,13
148,14405,import,0,100_100,GenGen,13
149,13994,import,0,100_100,GenGen,13
150,13626,import,0,100_100,GenGen,13
151,13198,import,0,100_100,GenGen,13
152,12778,import,0,100_100,GenGen,13
153,12428,import,0,100_100,GenGen,13
154,12010,import,0,100_100,GenGen,13
155,11622,import,0,100_100,GenGen,13
156,11207,import,0,100_100,GenGen,13
157,10792,import,0,100_100,GenGen,13
158,10386,import,0,100_100,GenGen,13
159,10006,import,0,100_100,GenGen,13
160,9608,import,0,100_100,GenGen,13
161,9234,import,0,100_100,GenGen,13
162,8837,import,0,100_100,GenGen,13
163,8406,import,0,100_100,GenGen,13
164,8013,import,0,100_100,GenGen,13
165,9585,import,0,100_100,GenGen,13
166,10118,import,0,100_100,GenGen,13
167,10173,import,0,100_100,GenGen,13
168,10067,import,0,100_100,GenGen,13
169,7309,home,0,50_50,GenGen,12
170,7330,home,0,50_50,GenGen,12
171,7248,home,0,50_50,GenGen,12
172,7232,home,0,50_50,GenGen,12
173,7185,home,0,50_50,GenGen,12
174,7130,home,0,50_50,GenGen,12
175,7080,home,0,50_50,GenGen,12
176,7035,home,0,50_50,GenGen,12
177,7005,home,0,50_50,GenGen,12
178,6922,home,0,50_50,GenGen,12
179,6896,home,0,50_50,GenGen,12
180,6816,home,0,50_50,GenGen,12
181,6730,home,0,50_50,GenGen,12
182,6710,home,0,50_50,GenGen,12
183,6700,home,0,50_50,GenGen,12
184,6687,home,0,50_50,GenGen,12
185,6599,home,0,50_50,GenGen,12
186,8406,home,0,50_50,GenGen,12
187,9527,home,0,50_50,GenGen,12
188,10208,home,0,50_50,GenGen,12
189,10709,home,0,50_50,GenGen,12
190,14496,import,0,50_50,GenGen,12
191,14062,import,0,50_50,GenGen,12
192,13652,import,0,50_50,GenGen,12
193,13239,import,0,50_50,GenGen,12
194,12808,import,0,50_50,GenGen,12
195,12403,import,0,50_50,GenGen,12
196,11955,import,0,50_50,GenGen,12
197,11626,import,0,50_50,GenGen,12
198,11170,import,0,50_50,GenGen,12
199,10788,import,0,50_50,GenGen,12
200,10405,import,0,50_50,GenGen,12
201,10001,import,0,50_50,GenGen,12
202,9599,import,0,50_50,GenGen,12
203,9231,import,0,50_50,GenGen,12
204,8831,import,0,50_50,GenGen,12
205,8469,import,0,50_50,GenGen,12
206,8065,import,0,50_50,GenGen,12
207,9625,import,0,50_50,GenGen,12
208,10135,import,0,50_50,GenGen,12
209,10165,import,0,50_50,GenGen,12
210,10067,import,0,50_50,GenGen,12
211,7296,home,0,50_50,GenGen,13
212,7303,home,0,50_50,GenGen,13
213,7236,home,0,50_50,GenGen,13
214,7254,home,0,50_50,GenGen,13
215,7152,home,0,50_50,GenGen,13
216,7158,home,0,50_50,GenGen,13
217,7056,home,0,50_50,GenGen,13
218,6998,home,0,50_50,GenGen,13
219,6947,home,0,50_50,GenGen,13
220,6923,home,0,50_50,GenGen,13
221,6848,home,0,50_50,GenGen,13
222,6785,home,0,50_50,GenGen,13
223,6780,home,0,50_50,GenGen,13
224,6778,home,0,50_50,GenGen,13
225,6695,home,0,50_50,GenGen,13
226,6623,home,0,50_50,GenGen,13
227,6616,home,0,50_50,GenGen,13
228,8404,home,0,50_50,GenGen,13
229,9516,home,0,50_50,GenGen,13
230,10230,home,0,50_50,GenGen,13
231,10709,home,0,50_50,GenGen,13
232,14472,import,0,50_50,GenGen,13
233,14020,import,0,50_50,GenGen,13
234,13602,import,0,50_50,GenGen,13
235,13243,import,0,50_50,GenGen,13
236,12849,import,0,50_50,GenGen,13
237,12447,import,0,50_50,GenGen,13
238,12025,import,0,50_50,GenGen,13
239,11613,import,0,50_50,GenGen,13
240,11207,import,0,50_50,GenGen,13
241,10792,import,0,50_50,GenGen,13
242,10369,import,0,50_50,GenGen,13
243,9992,import,0,50_50,GenGen,13
244,9580,import,0,50_50,GenGen,13
245,9226,import,0,50_50,GenGen,13
246,8769,import,0,50_50,GenGen,13
247,8337,import,0,50_50,GenGen,13
248,7926,import,0,50_50,GenGen,13
249,9524,import,0,50_50,GenGen,13
250,10090,import,0,50_50,GenGen,13
251,10166,import,0,50_50,GenGen,13
252,10067,import,0,50_50,GenGen,13
253,7300,home,0,10_10,GenGen,12
254,7280,home,0,10_10,GenGen,12
255,7180,home,0,10_10,GenGen,12
256,7163,home,0,10_10,GenGen,12
257,7133,home,0,10_10,GenGen,12
258,7128,home,0,10_10,GenGen,12
259,7066,home,0,10_10,GenGen,12
260,6989,home,0,10_10,GenGen,12
261,6911,home,0,10_10,GenGen,12
262,6932,home,0,10_10,GenGen,12
263,6844,home,0,10_10,GenGen,12
264,6806,home,0,10_10,GenGen,12
265,6769,home,0,10_10,GenGen,12
266,6736,home,0,10_10,GenGen,12
267,6699,home,0,10_10,GenGen,12
268,6656,home,0,10_10,GenGen,12
269,6661,home,0,10_10,GenGen,12
270,8428,home,0,10_10,GenGen,12
271,9564,home,0,10_10,GenGen,12
272,10233,home,0,10_10,GenGen,12
273,10709,home,0,10_10,GenGen,12
274,14364,import,0,10_10,GenGen,12
275,13943,import,0,10_10,GenGen,12
276,13586,import,0,10_10,GenGen,12
277,13166,import,0,10_10,GenGen,12
278,12762,import,0,10_10,GenGen,12
279,12371,import,0,10_10,GenGen,12
280,12033,import,0,10_10,GenGen,12
281,11613,import,0,10_10,GenGen,12
282,11247,import,0,10_10,GenGen,12
283,10856,import,0,10_10,GenGen,12
284,10434,import,0,10_10,GenGen,12
285,10009,import,0,10_10,GenGen,12
286,9616,import,0,10_10,GenGen,12
287,9184,import,0,10_10,GenGen,12
288,8790,import,0,10_10,GenGen,12
289,8424,import,0,10_10,GenGen,12
290,8037,import,0,10_10,GenGen,12
291,9607,import,0,10_10,GenGen,12
292,10129,import,0,10_10,GenGen,12
293,10182,import,0,10_10,GenGen,12
294,10067,import,0,10_10,GenGen,12
295,7355,home,0,10_10,GenGen,13
296,7295,home,0,10_10,GenGen,13
297,7254,home,0,10_10,GenGen,13
298,7201,home,0,10_10,GenGen,13
299,7159,home,0,10_10,GenGen,13
300,7079,home,0,10_10,GenGen,13
301,7078,home,0,10_10,GenGen,13
302,6985,home,0,10_10,GenGen,13
303,6942,home,0,10_10,GenGen,13
304,6931,home,0,10_10,GenGen,13
305,6870,home,0,10_10,GenGen,13
306,6837,home,0,10_10,GenGen,13
307,6781,home,0,10_10,GenGen,13
308,6756,home,0,10_10,GenGen,13
309,6654,home,0,10_10,GenGen,13
310,6620,home,0,10_10,GenGen,13
311,6537,home,0,10_10,GenGen,13
312,8338,home,0,10_10,GenGen,13
313,9513,home,0,10_10,GenGen,13
314,10192,home,0,10_10,GenGen,13
315,10709,home,0,10_10,GenGen,13
316,14414,import,0,10_10,GenGen,13
317,14001,import,0,10_10,GenGen,13
318,13604,import,0,10_10,GenGen,13
319,13196,import,0,10_10,GenGen,13
320,12798,import,0,10_10,GenGen,13
321,12386,import,0,10_10,GenGen,13
322,12020,import,0,10_10,GenGen,13
323,11603,import,0,10_10,GenGen,13
324,11234,import,0,10_10,GenGen,13
325,10840,import,0,10_10,GenGen,13
326,10397,import,0,10_10,GenGen,13
327,10047,import,0,10_10,GenGen,13
328,9625,import,0,10_10,GenGen,13
329,9227,import,0,10_10,GenGen,13
330,8803,import,0,10_10,GenGen,13
331,8369,import,0,10_10,GenGen,13
332,7941,import,0,10_10,GenGen,13
333,9529,import,0,10_10,GenGen,13
334,10081,import,0,10_10,GenGen,13
335,10155,import,0,10_10,GenGen,13
336,10067,import,0,10_10,GenGen,13
337,7312,home,0,0_100,GenGen,12
338,7281,home,0,0_100,GenGen,12
339,7248,home,0,0_100,GenGen,12
340,7221,home,0,0_100,GenGen,12
341,7171,home,0,0_100,GenGen,12
342,7104,home,0,0_100,GenGen,12
343,7059,home,0,0_100,GenGen,12
344,7046,home,0,0_100,GenGen,12
345,6944,home,0,0_100,GenGen,12
346,6903,home,0,0_100,GenGen,12
347,6858,home,0,0_100,GenGen,12
348,6801,home,0,0_100,GenGen,12
349,6782,home,0,0_100,GenGen,12
350,6759,home,0,0_100,GenGen,12
351,6728,home,0,0_100,GenGen,12
352,6696,home,0,0_100,GenGen,12
353,6589,home,0,0_100,GenGen,12
354,8372,home,0,0_100,GenGen,12
355,9483,home,0,0_100,GenGen,12
356,10189,home,0,0_100,GenGen,12
357,10709,home,0,0_100,GenGen,12
358,14455,import,0,0_100,GenGen,12
359,13998,import,0,0_100,GenGen,12
360,13587,import,0,0_100,GenGen,12
361,13205,import,0,0_100,GenGen,12
362,12810,import,0,0_100,GenGen,12
363,12412,import,0,0_100,GenGen,12
364,12033,import,0,0_100,GenGen,12
365,11646,import,0,0_100,GenGen,12
366,11225,import,0,0_100,GenGen,12
367,10849,import,0,0_100,GenGen,12
368,10419,import,0,0_100,GenGen,12
369,10032,import,0,0_100,GenGen,12
370,9572,import,0,0_100,GenGen,12
371,9186,import,0,0_100,GenGen,12
372,8753,import,0,0_100,GenGen,12
373,8416,import,0,0_100,GenGen,12
374,8049,import,0,0_100,GenGen,12
375,9622,import,0,0_100,GenGen,12
376,10148,import,0,0_100,GenGen,12
377,10192,import,0,0_100,GenGen,12
378,10067,import,0,0_100,GenGen,12
379,7318,home,0,0_100,GenGen,13
380,7293,home,0,0_100,GenGen,13
381,7217,home,0,0_100,GenGen,13
382,7167,home,0,0_100,GenGen,13
383,7112,home,0,0_100,GenGen,13
384,7089,home,0,0_100,GenGen,13
385,7069,home,0,0_100,GenGen,13
386,7010,home,0,0_100,GenGen,13
387,6955,home,0,0_100,GenGen,13
388,6921,home,0,0_100,GenGen,13
389,6893,home,0,0_100,GenGen,13
390,6833,home,0,0_100,GenGen,13
391,6823,home,0,0_100,GenGen,13
392,6732,home,0,0_100,GenGen,13
393,6692,home,0,0_100,GenGen,13
394,6630,home,0,0_100,GenGen,13
395,6592,home,0,0_100,GenGen,13
396,8391,home,0,0_100,GenGen,13
397,9524,home,0,0_100,GenGen,13
398,10207,home,0,0_100,GenGen,13
399,10709,home,0,0_100,GenGen,13
400,14336,import,0,0_100,GenGen,13
401,13978,import,0,0_100,GenGen,13
402,13568,import,0,0_100,GenGen,13
403,13171,import,0,0_100,GenGen,13
404,12802,import,0,0_100,GenGen,13
405,12377,import,0,0_100,GenGen,13
406,12012,import,0,0_100,GenGen,13
407,11559,import,0,0_100,GenGen,13
408,11198,import,0,0_100,GenGen,13
409,10814,import,0,0_100,GenGen,13
410,10396,import,0,0_100,GenGen,13
411,9950,import,0,0_100,GenGen,13
412,9561,import,0,0_100,GenGen,13
413,9158,import,0,0_100,GenGen,13
414,8746,import,0,0_100,GenGen,13
415,8373,import,0,0_100,GenGen,13
416,8018,import,0,0_100,GenGen,13
417,9573,import,0,0_100,GenGen,13
418,10133,import,0,0_100,GenGen,13
419,10167,import,0,0_100,GenGen,13
420,10067,import,0,0_100,GenGen,13
421,13027,home,0,0_0,ClassGen,12
422,12963,home,0,0_0,ClassGen,12
423,12882,home,0,0_0,ClassGen,12
424,12849,home,0,0_0,ClassGen,12
425,12182,home,0,0_0,ClassGen,12
426,10983,home,0,0_0,ClassGen,12
427,9295,home,0,0_0,ClassGen,12
428,11053,home,0,0_0,ClassGen,12
429,11992,home,0,0_0,ClassGen,12
430,11958,home,0,0_0,ClassGen,12
431,10709,home,0,0_0,ClassGen,12
432,14416,import,0,0_0,ClassGen,12
433,14007,import,0,0_0,ClassGen,12
434,13660,import,0,0_0,ClassGen,12
435,13205,import,0,0_0,ClassGen,12
436,12801,import,0,0_0,ClassGen,12
