Generation Group variable value sd var SDSt zMean zMean_noC zMean30 Strategy Scenario Rep GenVar Trait SDGenic SDGenicSt zMeanGenic SDGenicStNeg Genic_Genetic_VAR Genic_Genetic_SD Genic_Genetic_SDSt zMeanGenic_Genetic Import
20 home gvNormUnres1 -0.0998744302648148 1.49725396722916 2.24176944238346 1 0 -0.0667050697148219 -0.0734503291611926 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
21 home gvNormUnres1 1.04985600857639 1.436724198172 2.06417642161298 0.959572811038078 0.767892731631168 0.701187661916346 0.772092208159086 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
22 home gvNormUnres1 1.11506390020554 1.47984128256135 2.18993022157283 0.988370253110746 0.811444388902666 0.744739319187844 0.820047836955861 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
23 home gvNormUnres1 1.19968497468926 1.4586855817664 2.12776362645318 0.974240585560688 0.86796190452516 0.801256834810338 0.882280440018753 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
24 home gvNormUnres1 1.52569634115098 1.49513934095347 2.23544164886678 0.998587663601519 1.08570142874565 1.01899635903083 1.1220379246263 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
25 home gvNormUnres1 1.69791179588292 1.44247155640043 2.08072419102427 0.963411410470253 1.20072229928683 1.13401722957201 1.24868977939199 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
26 home gvNormUnres1 1.95169715182096 1.39689808394427 1.95132425692718 0.93297337293378 1.37022283927051 1.30351776955569 1.4353303227274 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
27 home gvNormUnres1 2.2484371032285 1.42286684459532 2.02455005744865 0.95031763197028 1.5684122967055 1.50170722699068 1.65356082525311 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
28 home gvNormUnres1 2.41507083634255 1.42047738558902 2.01775600296981 0.948721737714126 1.67970519474499 1.61300012503016 1.77610773254593 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
29 home gvNormUnres1 2.56321814265735 1.37913381493194 1.90201007948872 0.921108806600247 1.77865120494589 1.71194613523107 1.88505922678038 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
30 home gvNormUnres1 2.68257593317323 1.35975469960975 1.84893284311081 0.908165701591784 1.85836900374843 1.79166393403361 1.97283814054338 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
31 home gvNormUnres1 3.37759620422625 1.40858004810618 1.9840977519228 0.940775632548777 2.32256565058667 2.25586058087185 2.48397465013036 SU55 ClassGen 0 2.60888118538623 2 1.61520314059447 NA NA NA NA NA NA NA 100_100
32 home gvNormUnres1 3.5548623691627 1.40047013333944 1.9613165943758 0.93535910673269 2.44095983675436 2.37425476703954 2.61434093236298 SU55 ClassGen 0 2.61848648633452 2 1.618173812152 NA NA NA NA NA NA NA 100_100
33 home gvNormUnres1 3.86629121813951 1.42828872193552 2.04000867320821 0.953938846179006 2.64895985264555 2.58225478293073 2.84337404331026 SU55 ClassGen 0 2.60209218921135 2 1.61310017953361 NA NA NA NA NA NA NA 100_100
34 home gvNormUnres1 4.19414276890121 1.49341822551802 2.23029799630938 0.99743814890787 2.8679284163879 2.80122334667308 3.08448484870464 SU55 ClassGen 0 2.60192236883035 2 1.61304754078432 NA NA NA NA NA NA NA 100_100
35 home gvNormUnres1 4.67469576627462 1.49073380944899 2.2222872906343 0.99564525596667 3.18888465219786 3.12217958248304 3.43789638499962 SU55 ClassGen 0 2.59735892122269 2 1.61163237781533 NA NA NA NA NA NA NA 100_100
36 home gvNormUnres1 4.94137347710531 1.50696156169403 2.27093314842332 1.00648359909364 3.36699585889195 3.30029078917713 3.63401831118766 SU55 ClassGen 0 2.59171940401621 2 1.60988179815048 NA NA NA NA NA NA NA 100_100
37 home gvNormUnres1 5.36364186249397 1.40895480449917 1.98515364112128 0.941025928357764 3.64902442226929 3.58231935255446 3.94456578383831 SU55 ClassGen 0 2.58021711164359 2 1.60630542290176 NA NA NA NA NA NA NA 100_100
38 home gvNormUnres1 5.70254533562604 1.46707583032049 2.15231149191056 0.979844343331734 3.87537444741515 3.80866937770033 4.19380446874915 SU55 ClassGen 0 2.58082746009409 2 1.60649539684809 NA NA NA NA NA NA NA 100_100
39 home gvNormUnres1 6.06996564292628 1.43555517204715 2.06081865199131 0.958792030922987 4.12077056279844 4.05406549308361 4.46401519676185 SU55 ClassGen 0 2.57532597975923 2 1.60478222191026 NA NA NA NA NA NA NA 100_100
40 home gvNormUnres1 6.20651987790365 1.43076432266609 2.04708654701416 0.955592273576596 4.21197368395635 4.14526861424152 4.56444083604558 SU55 ClassGen 0 2.5722831164831 2 1.60383388057588 NA NA NA NA NA NA NA 100_100
41 home gvNormUnres1 6.58796303860734 1.43943642365095 2.07197721773303 0.961384277588383 4.46673551398148 4.40003044426666 4.8449643457736 SU55 ClassGen 0 2.55956506623508 2 1.59986407742504 NA NA NA NA NA NA NA 100_100
42 home gvNormUnres1 7.01675517117036 1.482400092568 2.19751003444561 0.990079255098818 4.75312121871035 4.68641614899553 5.16030955670472 SU55 ClassGen 0 2.55554311463347 2 1.5986066165988 NA NA NA NA NA NA NA 100_100
43 home gvNormUnres1 7.44757012665361 1.47729326763129 2.18239539858873 0.986668461039505 5.04085794535301 4.97415287563819 5.47714240575234 SU55 ClassGen 0 2.54501842528789 2 1.59531138818974 NA NA NA NA NA NA NA 100_100
44 home gvNormUnres1 7.76518193111573 1.46559246993484 2.1479612879297 0.978853622707099 5.25298749145125 5.18628242173643 5.71072262765065 SU55 ClassGen 0 2.54339778759813 2 1.59480336957198 NA NA NA NA NA NA NA 100_100
45 home gvNormUnres1 8.19063369848585 1.41710404187802 2.00818386550701 0.94646871732825 5.53714220179573 5.4704371320809 6.02361124461386 SU55 ClassGen 0 2.53337210930532 2 1.59165703256239 NA NA NA NA NA NA NA 100_100
46 home gvNormUnres1 8.5583575287678 1.41977864099725 2.015771389432 0.948255053633094 5.78274103695024 5.71603596723542 6.29404519155112 SU55 ClassGen 0 2.52149913615748 2 1.58792289994114 NA NA NA NA NA NA NA 100_100
47 home gvNormUnres1 8.83283790747667 1.41926188752299 2.01430430537531 0.947909919483796 5.9660635625314 5.89935849281658 6.49590540853558 SU55 ClassGen 0 2.51425696523147 2 1.58564086893327 NA NA NA NA NA NA NA 100_100
48 home gvNormUnres1 9.11471798751682 1.40181366715406 1.96508155741992 0.93625643867772 6.15432826992891 6.08762320021409 6.70320756393247 SU55 ClassGen 0 2.50675746458148 2 1.58327428595979 NA NA NA NA NA NA NA 100_100
49 home gvNormUnres1 9.44123051794019 1.41633254269467 2.00599787149595 0.945953441229316 6.37240251622903 6.30569744651421 6.94333361793109 SU55 ClassGen 0 2.49201745391949 2 1.57861250911029 NA NA NA NA NA NA NA 100_100
50 home gvNormUnres1 9.77201164687184 1.43082649110085 2.04726444763596 0.955633795212949 6.59332771407226 6.52662264435743 7.18659891352197 SU55 ClassGen 0 2.47752427564738 2 1.57401533526436 NA NA NA NA NA NA NA 100_100
20 home gvNormUnres2 -0.0205532581616435 1.45339577259064 2.11235927178433 1 0 -0.0141415425510753 -0.0145275581275633 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
21 home gvNormUnres2 0.915799389650255 1.40216965012134 1.96607972772139 0.964754182284436 0.644251665974558 0.630110123423483 0.647309967193406 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
22 home gvNormUnres2 1.01502577682009 1.42928247708512 2.04284839930258 0.983408995704911 0.712523769857845 0.69838222730677 0.717445665196173 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
23 home gvNormUnres2 0.92654240846647 1.4269247818986 2.03611433319636 0.981786798068872 0.651643333831873 0.637501791280798 0.654903402214299 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
24 home gvNormUnres2 1.18738076186713 1.46732574202209 2.15304483320066 1.00958442957806 0.831111554615069 0.816970012063993 0.839270489472399 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
25 home gvNormUnres2 1.40361308330647 1.40788467700438 1.98213926374374 0.96868637129367 0.979888870138639 0.965747327587564 0.992108915091473 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
26 home gvNormUnres2 1.61864835827019 1.39969174866132 1.95913699127058 0.963049277463088 1.12784256521539 1.11370102266432 1.14410123825228 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
27 home gvNormUnres2 1.81383639185429 1.44479075521714 2.08742032636092 0.994079370852884 1.2621404882348 1.24799894568372 1.28206503364651 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
28 home gvNormUnres2 2.08168508352316 1.47482929817362 2.17512145875128 1.01474720512278 1.44643212903917 1.43229058648809 1.47138720373792 SU55 ClassGen 0 NA 2 NA NA NA NA NA NA NA NA 100_100
