Generation Group variable value sd var SDSt zMean Strategy Scenario Rep GenVar Trait SDGenic SDGenicSt zMeanGenic SDGenicStNeg Genic_Genetic_VAR Genic_Genetic_SD Genic_Genetic_SDSt zMeanGenic_Genetic Import
20 home gvNormUnres1 0.723342037534815 1.54676475883466 2.39248121917284 1 0 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
21 home gvNormUnres1 2.30984684142914 1.52186141987156 2.31606218129349 0.983899724362832 1.02569236519819 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
22 home gvNormUnres1 2.30839334565309 1.55816561818883 2.42788009370579 1.00737077780513 1.02475266459553 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
23 home gvNormUnres1 2.32368472062987 1.55799890684617 2.42736059373386 1.00726299713473 1.03463870246227 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
24 home gvNormUnres1 2.58053385241326 1.55210590039275 2.40903272603398 1.00345310528158 1.20069441993084 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
25 home gvNormUnres1 2.95387161070184 1.58463745629407 2.51107586789013 1.02448510495413 1.44206128335088 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
26 home gvNormUnres1 3.03455086965507 1.55429044433438 2.41581878534916 1.00486543636111 1.49422128925509 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
27 home gvNormUnres1 3.08761097345413 1.51254714442817 2.2877988641178 0.977877945427027 1.52852521523737 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
28 home gvNormUnres1 3.3476195609139 1.53273672600276 2.34928187123765 0.990930726374662 1.69662355467436 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
29 home gvNormUnres1 3.55585930194315 1.51027607554505 2.28093382436374 0.976409675045155 1.83125277986186 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
30 home gvNormUnres1 3.5319987479227 1.48924938528039 2.21786373155802 0.962815694354455 1.81582667587018 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
31 home gvNormUnres1 3.83997266370518 1.52215050187618 2.3169421503619 0.984086618978168 2.01493511432111 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
32 home gvNormUnres1 4.0090687144487 1.51362588473965 2.29106331895388 0.978575362603957 2.12425752406551 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
33 home gvNormUnres1 4.24352075782853 1.52189152230552 2.31615380566542 0.983919185909126 2.27583328375405 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
34 home gvNormUnres1 4.49395091467818 1.49204011201639 2.22618369586589 0.96461992910965 2.43773906510785 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
35 home gvNormUnres1 4.86610831051808 1.46819131968668 2.15558575120332 0.949201429177134 2.67834281154974 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
36 home gvNormUnres1 5.0654620225487 1.4778605540282 2.18407181715253 0.955452692846214 2.80722712371936 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
37 home gvNormUnres1 5.19546744394185 1.44634803333905 2.09192263354374 0.935079510363774 2.89127702248425 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
38 home gvNormUnres1 5.39729597843937 1.46050261996023 2.1330679029107 0.944230602370708 3.02176133391218 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
39 home gvNormUnres1 5.6734448436459 1.45781413127515 2.12522204134551 0.94249246561156 3.20029453595809 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
40 home gvNormUnres1 5.86670788835934 1.48665772450408 2.21015118982765 0.961140157876456 3.32524116640695 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
41 home gvNormUnres1 6.40018121876943 1.4395847752677 2.07240432518255 0.930706991509357 3.6701373940738 SU55 GenGen 4 2.61298354764291 1 1.61647256321996 NA NA NA NA NA NA NA 100_100
42 home gvNormUnres1 6.48992641132517 1.50133852168419 2.25401735669286 0.970631450651426 3.72815862325112 SU55 GenGen 4 2.6064115269482 1 1.6144384556087 NA NA NA NA NA NA NA 100_100
43 home gvNormUnres1 6.77578315480373 1.5254231375172 2.32691574847283 0.986202413007177 3.9129680726815 SU55 GenGen 4 2.6037196943097 1 1.61360456565718 NA NA NA NA NA NA NA 100_100
44 home gvNormUnres1 7.16586818472463 1.53582486923558 2.35875802896249 0.992927244083763 4.16516222676528 SU55 GenGen 4 2.59801929694131 1 1.61183724269583 NA NA NA NA NA NA NA 100_100
45 home gvNormUnres1 7.39365983030632 1.56392471671762 2.44586051956028 1.01109409674933 4.31243196786883 SU55 GenGen 4 2.59319275620557 1 1.61033932952206 NA NA NA NA NA NA NA 100_100
46 home gvNormUnres1 7.68382552656524 1.52440714097533 2.32381713145657 0.985545560349994 4.50002720146954 SU55 GenGen 4 2.59075859990885 1 1.60958336221174 NA NA NA NA NA NA NA 100_100
47 home gvNormUnres1 8.09971846797013 1.45091219861096 2.10514620807808 0.938030292146094 4.76890644702348 SU55 GenGen 4 2.5800643924158 1 1.60625788477934 NA NA NA NA NA NA NA 100_100
48 home gvNormUnres1 8.30447483141753 1.48283032697729 2.19878577860358 0.9586657043405 4.9012836312578 SU55 GenGen 4 2.57168365537011 1 1.603646985895 NA NA NA NA NA NA NA 100_100
49 home gvNormUnres1 8.52638935795589 1.41880958084605 2.01302062670053 0.917275605577533 5.04475375188917 SU55 GenGen 4 2.57057189626247 1 1.60330031380976 NA NA NA NA NA NA NA 100_100
50 home gvNormUnres1 8.73113390895682 1.42654399406227 2.03502776699514 0.92227598664521 5.17712329925019 SU55 GenGen 4 2.56833779651824 1 1.60260344331286 NA NA NA NA NA NA NA 100_100
51 home gvNormUnres1 9.02555764471619 1.43403837278325 2.05646605461482 0.927121182838211 5.36747140103988 SU55 GenGen 4 2.5594544208555 1 1.59982949743262 NA NA NA NA NA NA NA 100_100
52 home gvNormUnres1 9.27399722863731 1.46023946216107 2.13229928685246 0.944060468032145 5.52809025565376 SU55 GenGen 4 2.55580871593711 1 1.59868968719296 NA NA NA NA NA NA NA 100_100
53 home gvNormUnres1 9.56580196160873 1.43249951501569 2.05205486052017 0.926126294792842 5.71674514406178 SU55 GenGen 4 2.54107162761134 1 1.59407390908055 NA NA NA NA NA NA NA 100_100
54 home gvNormUnres1 9.90118700440697 1.44137518164959 2.07756241427539 0.931864508430831 5.9335751700128 SU55 GenGen 4 2.53211542712351 1 1.59126221193225 NA NA NA NA NA NA NA 100_100
55 home gvNormUnres1 10.1494261477381 1.43085563721101 2.04734785453853 0.925063510167524 6.09406443763626 SU55 GenGen 4 2.52771170899138 1 1.58987789122039 NA NA NA NA NA NA NA 100_100
56 home gvNormUnres1 10.5133399974004 1.46050176661935 2.13306541029824 0.944230050676678 6.32933864309236 SU55 GenGen 4 2.52146474573081 1 1.58791207115848 NA NA NA NA NA NA NA 100_100
57 home gvNormUnres1 10.8037148259043 1.49334252857652 2.23007190765532 0.965461955379444 6.51706908293157 SU55 GenGen 4 2.50691726413536 1 1.58332475005457 NA NA NA NA NA NA NA 100_100
58 home gvNormUnres1 11.073380548747 1.54127429047681 2.37552643848478 0.996450353341392 6.69141086393126 SU55 GenGen 4 2.50846706201529 1 1.58381408694811 NA NA NA NA NA NA NA 100_100
59 home gvNormUnres1 11.4162892852174 1.4985075721681 2.24552494384514 0.968801211437664 6.91310503850548 SU55 GenGen 4 2.49927385965489 1 1.58090918766857 NA NA NA NA NA NA NA 100_100
20 home gvNormUnres3 0.134720111809711 1.48315647313472 2.19975312380144 1 0 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
21 home gvNormUnres3 1.80368558521839 1.49908408494153 2.24725309372499 1.01073899625246 1.12527943183314 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
22 home gvNormUnres3 1.67420842254981 1.53973191117935 2.370774358304 1.03814529287328 1.03798104827491 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
23 home gvNormUnres3 1.66562442505264 1.49945494161611 2.24836512193698 1.01098904180146 1.03219339359878 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
24 home gvNormUnres3 1.93306467232407 1.47827377084118 2.18529334155699 0.996707898066057 1.21251168915001 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
25 home gvNormUnres3 2.19667761067868 1.50871273267778 2.27621410974405 1.01723099349662 1.39024946876368 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
26 home gvNormUnres3 2.26163204962459 1.49534159857135 2.23604649641793 1.00821567087313 1.43404419988105 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
27 home gvNormUnres3 2.25079824886097 1.47471251462735 2.17477700079851 0.99430676488939 1.42673964303903 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
28 home gvNormUnres3 2.46752165797554 1.49803496219862 2.24410874796943 1.01003163815376 1.57286273459424 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
29 home gvNormUnres3 2.61470609060791 1.48607486156414 2.20841849417288 1.00196768748428 1.67210002701645 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
30 home gvNormUnres3 2.60476866026244 1.48229279922466 2.19719194263329 0.999417678494679 1.66539983689797 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
31 home gvNormUnres3 2.88315377448601 1.46825461332823 2.15577160955962 0.989952604410644 1.85309757430202 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
32 home gvNormUnres3 3.00935858723709 1.47333831002192 2.17072577577824 0.993380224345407 1.93818961619855 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
33 home gvNormUnres3 3.16608111041869 1.49236699816475 2.22715925721125 1.00621008315498 2.04385784879599 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
