Generation Group variable value sd var SDSt zMean Strategy Scenario Rep GenVar Trait SDGenic SDGenicSt zMeanGenic SDGenicStNeg Genic_Genetic_VAR Genic_Genetic_SD Genic_Genetic_SDSt zMeanGenic_Genetic Import
20 home gvNormUnres1 0.257896954590058 1.56059371029828 2.43545272862256 1 0 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
21 home gvNormUnres1 1.55594894123024 1.47776902824994 2.18380130085476 0.946927453633968 0.831768049604714 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
22 home gvNormUnres1 1.39749536114538 1.49185870469514 2.22564239477466 0.955955861445831 0.730233884088581 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
23 home gvNormUnres1 1.39076465064457 1.51772517907796 2.30348971920724 0.972530626685582 0.725920967500238 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
24 home gvNormUnres1 1.66608695195176 1.50453804985977 2.26363474347585 0.964080554683387 0.902342479063657 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
25 home gvNormUnres1 1.83993059611263 1.49891333137983 2.24674117498817 0.960476337619825 1.01373831707946 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
26 home gvNormUnres1 1.90618310046706 1.48228710430423 2.19717505958663 0.949822554405219 1.05619171408935 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
27 home gvNormUnres1 2.23033623539729 1.46687026125142 2.1517083633438 0.93994372242539 1.26390313365433 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
28 home gvNormUnres1 2.44477227527097 1.53335397259174 2.35117440526289 0.982545272656949 1.4013098388452 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
29 home gvNormUnres1 2.71320484832779 1.4951196955657 2.23538290406848 0.958045444947959 1.57331653814524 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
30 home gvNormUnres1 2.76732813724671 1.47854025038914 2.18608127202077 0.947421638721419 1.60799775501916 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
31 home gvNormUnres1 3.03702145970933 1.44820495702522 2.09729759755242 0.927983335744971 1.78081231955503 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
32 home gvNormUnres1 3.12749708052017 1.46559008754451 2.14795430470873 0.939123410451519 1.83878744800377 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
33 home gvNormUnres1 3.34287033925819 1.43370892812494 2.05552129058517 0.918694544687684 1.97679470595745 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
34 home gvNormUnres1 3.48560741474686 1.43969613459565 2.07272495996966 0.922531037447586 2.06825802183957 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
35 home gvNormUnres1 3.77785861814817 1.45760292388659 2.12460628372274 0.934005381585189 2.25552726525172 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
36 home gvNormUnres1 3.87497871501737 1.44747654402649 2.09518834550688 0.927516581974325 2.31776005283013 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
37 home gvNormUnres1 3.9772570249385 1.44500196405863 2.08803067613331 0.925930916242413 2.3832981292982 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
38 home gvNormUnres1 4.14770524017373 1.43068102202689 2.04684818678789 0.916754317658652 2.49251823835699 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
39 home gvNormUnres1 4.42784052860559 1.40974017438937 1.98736735928738 0.903335804243325 2.67202382432934 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
40 home gvNormUnres1 4.51028241398749 1.41067895094691 1.99001510264467 0.903937355147536 2.72485108156988 SU55 GenGen 0 NA NA NA NA NA NA NA NA NA NA 100_100
41 home gvNormUnres1 5.0689313002876 1.43698316823718 2.06492062579695 0.92079261806234 3.08282310376478 SU55 GenGen 0 2.57558041917404 1 1.60486149532414 NA NA NA NA NA NA NA 100_100
42 home gvNormUnres1 5.22721614403878 1.45435330244712 2.11514352833884 0.931923083407239 3.18424914611435 SU55 GenGen 0 2.58300795853853 1 1.60717390426131 NA NA NA NA NA NA NA 100_100
43 home gvNormUnres1 5.41344899033198 1.43242144549547 2.05183119751534 0.917869549289476 3.3035837590019 SU55 GenGen 0 2.57920299686971 1 1.60598972501997 NA NA NA NA NA NA NA 100_100
44 home gvNormUnres1 5.76978202833449 1.43182836132446 2.05013245629308 0.917489511764589 3.53191547381729 SU55 GenGen 0 2.57746987472584 1 1.60545005363787 NA NA NA NA NA NA NA 100_100
45 home gvNormUnres1 6.10824876712837 1.42838118393656 2.04027280662401 0.915280623336326 3.74879878980168 SU55 GenGen 0 2.57428159244208 1 1.60445679045653 NA NA NA NA NA NA NA 100_100
46 home gvNormUnres1 6.54057822516289 1.46191640315698 2.13719956981944 0.936769380467103 4.02582762516197 SU55 GenGen 0 2.57041862910584 1 1.60325251570233 NA NA NA NA NA NA NA 100_100
47 home gvNormUnres1 6.906924918912 1.44304212129159 2.08237056382172 0.924675084725141 4.26057590803124 SU55 GenGen 0 2.55605645085113 1 1.59876716592853 NA NA NA NA NA NA NA 100_100
48 home gvNormUnres1 7.23916871118642 1.47676765039903 2.18084269326506 0.946285788962181 4.47347167333003 SU55 GenGen 0 2.55377310728161 1 1.59805291128974 NA NA NA NA NA NA NA 100_100
49 home gvNormUnres1 7.56755781473385 1.46947871178886 2.15936768440064 0.941615169977835 4.68389742436337 SU55 GenGen 0 2.5421754198847 1 1.594420088899 NA NA NA NA NA NA NA 100_100
50 home gvNormUnres1 7.9210002933203 1.48001372666928 2.1904406311295 0.948365815460325 4.91037692139972 SU55 GenGen 0 2.54466357185599 1 1.5952001667051 NA NA NA NA NA NA NA 100_100
