Generation variable Group value sd var SDSt zMean scenario Rep Import
20 gvNormUnres1 home 0.254506772220833 1.56073959312497 2.43590807754788 1 0 Class 0 100
21 gvNormUnres1 home 1.52591587396529 1.49780587705797 2.24342244534941 0.959676991380104 0.814619624788782 Class 0 100
22 gvNormUnres1 home 1.39981305533567 1.4815304374785 2.19493243717524 0.949248961200588 0.733822790271929 Class 0 100
23 gvNormUnres1 home 1.51200471413323 1.53442461325474 2.35445889376197 0.983139416731569 0.805706440364334 Class 0 100
24 gvNormUnres1 home 1.66875463811808 1.55274009817392 2.41100181247716 0.994874548588193 0.90613954571729 Class 0 100
25 gvNormUnres1 home 1.93413269237171 1.57564530860889 2.48265813854122 1.00955041798746 1.07617307047864 Class 0 100
26 gvNormUnres1 home 2.05149124993698 1.5242780460132 2.32342356155782 0.976638289133961 1.15136726564241 Class 0 100
27 gvNormUnres1 home 2.22283723791993 1.54796999766663 2.39621111367603 0.991818240842621 1.26115238850194 Class 0 100
28 gvNormUnres1 home 2.45132375799189 1.51020455621208 2.28071780160371 0.967621096347209 1.40754870027518 Class 0 100
29 gvNormUnres1 home 2.55977677686244 1.52225687483469 2.31726599298149 0.975343280544821 1.47703692198 Class 0 100
30 gvNormUnres1 home 2.83748911970635 1.52407125478749 2.32279318966951 0.976505793471889 1.6549732952656 Class 0 100
31 gvNormUnres1 home 2.98379130475503 1.49278015438282 2.2283925893192 0.956456900919599 1.74871230572778 Class 0 100
32 gvNormUnres1 home 3.26977235561084 1.54736919691208 2.39435143155234 0.991433294656085 1.93194662112258 Class 0 100
33 gvNormUnres1 home 3.48701138677091 1.55680916580747 2.42365477874214 0.997481689235787 2.0711364207003 Class 0 100
34 gvNormUnres1 home 3.7793837350369 1.49186128047782 2.22565008018892 0.955868158307412 2.25846578016159 Class 0 100
35 gvNormUnres1 home 3.91863070818456 1.47440710600611 2.17387631424132 0.944684886896478 2.34768436201922 Class 0 100
36 gvNormUnres1 home 4.05869445439019 1.46848960049772 2.15646170676995 0.940893411666105 2.43742626824279 Class 0 100
37 gvNormUnres1 home 4.23328268944587 1.47933548246551 2.18843346968146 0.947842605507004 2.5492887697291 Class 0 100
38 gvNormUnres1 home 4.43625646866508 1.46560586354292 2.14800054725139 0.939045738314639 2.67933851032215 Class 0 100
