Generation variable Group value sd var SDSt zMean scenario Rep Import Trait
20 gvNormUnres1 home -0.0981403567960532 1.49880507109325 2.24641664113486 1 0 Class 0 BurnIn 2
21 gvNormUnres1 home 1.04747218149617 1.43563878722343 2.06105872738035 0.957855571022485 0.764350588603622 Class 0 BurnIn 2
22 gvNormUnres1 home 1.09890146062897 1.4038413234078 1.97077046130737 0.936640361367215 0.798664109504166 Class 0 BurnIn 2
23 gvNormUnres1 home 1.24300834303587 1.45543200684422 2.11828232654659 0.971061570923696 0.894811957670829 Class 0 BurnIn 2
24 gvNormUnres1 home 1.35424653585334 1.45486932281352 2.11664474646387 0.970686149168359 0.969029876306731 Class 0 BurnIn 2
25 gvNormUnres1 home 1.68803921841104 1.43244699042499 2.0519043803776 0.955726010040876 1.19173574313051 Class 0 BurnIn 2
26 gvNormUnres1 home 1.93351518882528 1.39210157212948 1.93794678712537 0.928807620802922 1.35551686126829 Class 0 BurnIn 2
27 gvNormUnres1 home 2.34188490376481 1.38667709071482 1.92287335391332 0.925188416732106 1.62798038759041 Class 0 BurnIn 2
28 gvNormUnres1 home 2.50161803713005 1.37036840056189 1.87790955325855 0.914307288513722 1.73455404179397 Class 0 BurnIn 2
29 gvNormUnres1 home 2.6298547650929 1.36690335305042 1.86842477658047 0.911995415156536 1.82011335196452 Class 0 BurnIn 2
30 gvNormUnres1 home 2.72590601794603 1.37537162475666 1.89164710618578 0.917645430538503 1.88419857205459 Class 0 BurnIn 2
31 gvNormUnres1 home 2.89861097692697 1.3758352363259 1.89292259751593 0.917954751328895 1.99942700456514 Class 0 BurnIn 2
32 gvNormUnres1 home 3.02028394548193 1.36452608248394 1.86193142977897 0.910409304585974 2.08060698647313 Class 0 BurnIn 2
33 gvNormUnres1 home 3.19074332164439 1.36227446311139 1.85579171284541 0.908907028262 2.19433717023753 Class 0 BurnIn 2
34 gvNormUnres1 home 3.35372113753212 1.34043527004134 1.7967667131708 0.894335958620426 2.30307567068099 Class 0 BurnIn 2
35 gvNormUnres1 home 3.57484772569003 1.32718849118682 1.76142929113874 0.885497732015774 2.45061092554681 Class 0 BurnIn 2
36 gvNormUnres1 home 3.70385364722822 1.30768343564137 1.71003596785081 0.87248399465817 2.53668344026287 Class 0 BurnIn 2
37 gvNormUnres1 home 3.84676996974404 1.33337947121896 1.77790081426817 0.889628342561167 2.63203694904942 Class 0 BurnIn 2
38 gvNormUnres1 home 3.95204334264115 1.34740534180425 1.81550115512264 0.898986377742526 2.70227515075254 Class 0 BurnIn 2
39 gvNormUnres1 home 4.20225283124895 1.33191744100851 1.77400406966265 0.888652878680871 2.86921446356478 Class 0 BurnIn 2
40 gvNormUnres1 home 4.3228257094024 1.36274722029123 1.85707998641149 0.909222450987054 2.9496604671705 Class 0 BurnIn 2
20 gvNormUnres2 home -0.0109714926480903 1.46215954467886 2.1379105340955 1 0 Class 0 BurnIn 2
21 gvNormUnres2 home 0.865226200147546 1.39126121301484 1.93560776283951 0.951511220562735 0.599249032695729 Class 0 BurnIn 2
22 gvNormUnres2 home 1.01528552505251 1.39061684217267 1.93381520173429 0.951070522525019 0.701877590195536 Class 0 BurnIn 2
23 gvNormUnres2 home 1.01780463601002 1.411556454429 1.99249162404018 0.965391539908203 0.70360046029318 Class 0 BurnIn 2
24 gvNormUnres2 home 1.09027040757103 1.43286372635487 2.05309845830357 0.979964007053399 0.753161243057774 Class 0 BurnIn 2
25 gvNormUnres2 home 1.46132432802598 1.42627617007055 2.03426371331111 0.975458646261345 1.0069324007986 Class 0 BurnIn 2
26 gvNormUnres2 home 1.75921387906707 1.39843995287794 1.95563430180526 0.956420903564996 1.21066499080574 Class 0 BurnIn 2
27 gvNormUnres2 home 1.98554692019302 1.37723716251716 1.89678220181831 0.941919893440658 1.36545866017625 Class 0 BurnIn 2
28 gvNormUnres2 home 2.14806528244591 1.35741172199654 1.84256658301363 0.928360880272253 1.47660820117151 Class 0 BurnIn 2
29 gvNormUnres2 home 2.23220885624137 1.36047671107788 1.85089688138527 0.930457087278174 1.53415566519598 Class 0 BurnIn 2
30 gvNormUnres2 home 2.34284602337641 1.37350379889018 1.88651268556575 0.939366571786695 1.60982262475432 Class 0 BurnIn 2
31 gvNormUnres2 home 2.42342247532609 1.38535189572686 1.91919987499399 0.947469720912792 1.66493046318612 Class 0 BurnIn 2
32 gvNormUnres2 home 2.58589957238451 1.40316261071655 1.9688653121129 0.95965082321077 1.77605178209397 Class 0 BurnIn 2
33 gvNormUnres2 home 2.75262974584278 1.39154124259887 1.9363870298536 0.951702738366006 1.89008186456003 Class 0 BurnIn 2
34 gvNormUnres2 home 2.86132723497494 1.39348494331098 1.94180028723442 0.953032073949932 1.96442223974531 Class 0 BurnIn 2
35 gvNormUnres2 home 3.04357188463586 1.35921669821836 1.84747003271561 0.92959533941755 2.08906298112278 Class 0 BurnIn 2
36 gvNormUnres2 home 3.1114357779138 1.35179986504423 1.82736287513361 0.924522819663385 2.13547644778236 Class 0 BurnIn 2
37 gvNormUnres2 home 3.25130847162155 1.35785874051449 1.84378035919161 0.928666605129417 2.23113816555918 Class 0 BurnIn 2
38 gvNormUnres2 home 3.36664715741642 1.35595879934831 1.83862426553011 0.927367197569484 2.31002058725838 Class 0 BurnIn 2
39 gvNormUnres2 home 3.56659801792065 1.35617668296222 1.83921519541041 0.927516212507495 2.44677095846917 Class 0 BurnIn 2
40 gvNormUnres2 home 3.64126066124968 1.34232235518677 1.80182930523414 0.918040962131518 2.49783422553926 Class 0 BurnIn 2
20 gvNormUnres1 import -0.123607508174687 1.49738905766559 2.24217399001664 1 0 Class 0 BurnIn 2
21 gvNormUnres1 import 1.53706846521962 1.35918892956567 1.84739454625387 0.907705931606464 1.10904775541988 Class 0 BurnIn 2
22 gvNormUnres1 import 1.3266245894927 1.41372599377295 1.99862118546931 0.944127370595943 0.968507209427774 Class 0 BurnIn 2
23 gvNormUnres1 import 1.70946435100602 1.40409926907086 1.97149475740532 0.93769836361689 1.22417874619602 Class 0 BurnIn 2
24 gvNormUnres1 import 2.07269000327184 1.44971668280908 2.10167846041496 0.968163000382259 1.4667514098644 Class 0 BurnIn 2
25 gvNormUnres1 import 2.42480519950818 1.40432392109732 1.97212567536614 0.937848392779523 1.70190418758356 Class 0 BurnIn 2
26 gvNormUnres1 import 2.62495363904954 1.38422966512887 1.91609176582277 0.924428863722875 1.83556914160252 Class 0 BurnIn 2
27 gvNormUnres1 import 2.96389386752589 1.37445347965488 1.88912236773542 0.917900042489718 2.06192329234324 Class 0 BurnIn 2
28 gvNormUnres1 import 3.2372580753939 1.37576553035487 1.89273079451262 0.918776268139472 2.24448386767841 Class 0 BurnIn 2
29 gvNormUnres1 import 3.56198273067009 1.36132948460589 1.85321796565735 0.909135456571447 2.46134444483691 Class 0 BurnIn 2
30 gvNormUnres1 import 3.86972379631604 1.37169455460417 1.88154595113074 0.916057552031686 2.66686288646738 Class 0 BurnIn 2
31 gvNormUnres1 import 4.1488967777715 1.34330514230358 1.80446870533923 0.897098276113872 2.85330272989104 Class 0 BurnIn 2
32 gvNormUnres1 import 4.38460042545855 1.3657289745644 1.86521563196472 0.912073564029879 3.01071248688132 Class 0 BurnIn 2
33 gvNormUnres1 import 4.6641580535101 1.35178525578032 1.82732337774506 0.902761542740092 3.19740920849846 Class 0 BurnIn 2
34 gvNormUnres1 import 4.98182751375109 1.32981023705271 1.76839526657018 0.888085985566014 3.40955812104376 Class 0 BurnIn 2
35 gvNormUnres1 import 5.29319292483025 1.34163561970571 1.79998613606313 0.895983320325116 3.61749700605511 Class 0 BurnIn 2
36 gvNormUnres1 import 5.50507069662936 1.32622213527849 1.75886515210263 0.885689746755631 3.7589951495833 Class 0 BurnIn 2
37 gvNormUnres1 import 5.81333011035191 1.34661137239162 1.81336218825443 0.899306272807259 3.96485975914784 Class 0 BurnIn 2
38 gvNormUnres1 import 6.04870118465111 1.34361777974631 1.8053087380504 0.897307064498651 4.12204741394889 Class 0 BurnIn 2
39 gvNormUnres1 import 6.40221297789437 1.32613557928584 1.75863557464779 0.885631942144194 4.35813287980262 Class 0 BurnIn 2
40 gvNormUnres1 import 6.65772256540703 1.30001153599724 1.69002999372591 0.868185545594906 4.5287696199368 Class 0 BurnIn 2
20 gvNormUnres2 import -0.0409586296898611 1.45327400597299 2.11200533643677 1 0 Class 0 BurnIn 2
21 gvNormUnres2 import 1.8086079123635 1.24333378239713 1.54587889444995 0.855539820630523 1.27268948212904 Class 0 BurnIn 2
22 gvNormUnres2 import 1.58962467033766 1.33791365321028 1.79001294344647 0.920620370082602 1.12200678834535 Class 0 BurnIn 2
23 gvNormUnres2 import 1.94460089378766 1.30585625247409 1.70526055212566 0.898561625066567 1.36626645444481 Class 0 BurnIn 2
24 gvNormUnres2 import 2.39676139229325 1.3822972822003 1.91074577637833 0.951160811050791 1.67739876442022 Class 0 BurnIn 2
25 gvNormUnres2 import 2.72399043994409 1.31512607462517 1.729556592159 0.904940203444067 1.9025655576787 Class 0 BurnIn 2
26 gvNormUnres2 import 2.98055302996537 1.29529661114792 1.67779331085129 0.891295520200751 2.07910665658145 Class 0 BurnIn 2
