Generation Group variable value sd var SDSt zMean Strategy Scenario Rep GenVar Trait SDGenic SDGenicSt zMeanGenic SDGenicStNeg Genic_Genetic_VAR Genic_Genetic_SD Genic_Genetic_SDSt zMeanGenic_Genetic scenario Import
20 home gvNormUnres1 0.260975617199491 1.58384823485515 2.50857523105378 1 0 SU55 Class 0 2.57066723966569 1 1.60333004701642 1 0 0 2.50857523105378 1.58384823485515 1 0 Class BurnIn
21 home gvNormUnres1 1.55269110199672 1.50126148451699 2.25378604489416 0.947856904139737 0.815555086889601 SU55 Class 0 2.64482717631011 1 1.62629246333804 1.01432170273634 0.805645404825374 -0.0143217027363425 2.58094390535442 1.60653163845423 1.01432170273634 0.815555086889601 Class BurnIn
22 home gvNormUnres1 1.4570376562378 1.4826835736233 2.19835057949237 0.936127301211343 0.755162024187055 SU55 Class 0 2.63181206726043 1 1.62228606209276 1.01182290265913 0.745986168764202 -0.0118229026591303 2.56824316381631 1.60257391836268 1.01182290265913 0.755162024187055 Class BurnIn
23 home gvNormUnres1 1.43324640185911 1.52627816976956 2.32952505151512 0.963651779369595 0.74014085368907 SU55 Class 0 2.61296596564714 1 1.61646712482721 1.00819362041847 0.731147518155137 -0.00819362041847183 2.54985227176325 1.59682568609202 1.00819362041847 0.74014085368907 Class BurnIn
24 home gvNormUnres1 1.78680569480574 1.60196255032384 2.56628401264006 1.01143690100481 0.963368865796534 SU55 Class 0 2.61744147280868 1 1.61785088089375 1.0090566717092 0.951663121667063 -0.00905667170920021 2.55421967732964 1.59819262835543 1.0090566717092 0.963368865796534 Class BurnIn
25 home gvNormUnres1 1.76428541580557 1.58268550207236 2.50489339847005 0.999265881189119 0.949150155629374 SU55 Class 0 2.60546147255086 1 1.6141441919949 1.00674480279254 0.937617180819088 -0.00674480279253564 2.54252904252049 1.59453097885255 1.00674480279254 0.949150155629374 Class BurnIn
26 home gvNormUnres1 2.11598370330811 1.56509739200934 2.44952984647444 0.98816121239828 1.17120317798521 SU55 Class 0 2.60152422816053 1 1.61292412349761 1.0059838437501 1.15697207169574 -0.00598384375009831 2.53868689850286 1.59332573521639 1.0059838437501 1.17120317798521 Class BurnIn
27 home gvNormUnres1 2.38523519918635 1.57167451017072 2.47016076592037 0.992313831327694 1.34120147072117 SU55 Class 0 2.60211310970217 1 1.61310666408089 1.0060976946591 1.32490474181521 -0.00609769465909782 2.53926155617406 1.59350605777765 1.0060976946591 1.34120147072117 Class BurnIn
28 home gvNormUnres1 2.50657048148253 1.48430266552572 2.20315440288677 0.937149553133459 1.41780936763074 SU55 Class 0 2.58334026257394 1 1.60727728241705 1.00246189822736 1.4005817881738 -0.00246189822736209 2.52094214921404 1.58774750801695 1.00246189822736 1.41780936763074 Class BurnIn
29 home gvNormUnres1 2.7333119623367 1.56001833040784 2.43365719120846 0.984954426868119 1.56096795812215 SU55 Class 0 2.58395364062468 1 1.6074680838588 1.0025809014495 1.54200088106494 -0.00258090144950196 2.52154071170459 1.58793599106028 1.0025809014495 1.56096795812215 Class BurnIn
30 home gvNormUnres1 3.02314152672036 1.5136911283759 2.2912608321239 0.955704653428698 1.74395870054651 SU55 Class 0 2.58273639603689 1 1.6070894175611 1.00234472655937 1.72276813165254 -0.00234472655937279 2.52035286849566 1.58756192587743 1.00234472655937 1.74395870054651 Class BurnIn
